"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"159","provincia","Linares","p74","Hombre",2013,311831.807406405,210000,"[276435, 347341]","[209207, 230000]"
"160","provincia","Linares","p74","Hombre",2014,327138.904841404,239959.312205009,"[293550, 357592]","[225000, 252518]"
"161","provincia","Linares","p74","Hombre",2015,355006.791583834,280125.279185887,"[319226, 388836]","[251019, 300081]"
"162","provincia","Llanquihue","p101","Hombre",2010,361523.728010958,245639.015324254,"[322593, 411051]","[220215, 250096]"
"163","provincia","Llanquihue","p101","Hombre",2011,421777.22982024,299041.083012127,"[388118, 471994]","[265078, 309009]"
"164","provincia","Llanquihue","p101","Hombre",2012,522098.994412953,300000,"[441184, 656418]","[267093, 313439]"
"165","provincia","Llanquihue","p101","Hombre",2013,458692.098061473,300406.687754181,"[414161, 510843]","[298867, 348678]"
"166","provincia","Llanquihue","p101","Hombre",2014,559124.077756429,345403.451863414,"[478639, 665562]","[303127, 359923]"
"167","provincia","Llanquihue","p101","Hombre",2015,683787.052069248,395367.175170379,"[561670, 805688]","[350095, 410000]"
"168","provincia","Los Andes","p53","Hombre",2010,528583.258342332,311653.978533334,"[446487, 658551]","[273441, 353156]"
"169","provincia","Los Andes","p53","Hombre",2011,471529.854718234,318977.155212936,"[428795, 524141]","[299870, 348881]"
"170","provincia","Los Andes","p53","Hombre",2012,478117.022048507,349631.133842166,"[436213, 516918]","[310000, 359425]"
"171","provincia","Los Andes","p53","Hombre",2013,483617.685466937,377266.854889692,"[447745, 526988]","[350000, 398489]"
"172","provincia","Los Andes","p53","Hombre",2014,535999.378167125,399924.995312207,"[491817, 587583]","[350000, 423195]"
"173","provincia","Los Andes","p53","Hombre",2015,531644.622167067,400089.644726403,"[486207, 574770]","[358425, 429955]"
"174","provincia","Magallanes","p121","Hombre",2010,784849.186931532,400007.739524239,"[670931, 893500]","[349874, 481098]"
"175","provincia","Magallanes","p121","Hombre",2011,838285.905994971,452174.943138741,"[716371, 1034559]","[402682, 536038]"
"176","provincia","Magallanes","p121","Hombre",2012,751612.397767798,482164.948453608,"[670613, 850276]","[412919, 502713]"
"177","provincia","Magallanes","p121","Hombre",2013,786346.157408997,500000,"[690019, 905408]","[450000, 557887]"
"178","provincia","Magallanes","p121","Hombre",2014,709819.923642827,455014.546421549,"[627107, 800161]","[400732, 551595]"
"179","provincia","Magallanes","p121","Hombre",2015,826620.071969286,520678.331534233,"[724911, 931831]","[476550, 600162]"
"180","provincia","Maipo","p134","Hombre",2010,369181.20493415,230000,"[322287, 413488]","[208463, 250000]"
"181","provincia","Maipo","p134","Hombre",2011,396078.747712324,279105.010811319,"[361844, 446448]","[250000, 299858]"
"182","provincia","Maipo","p134","Hombre",2012,469829.900016088,295592.926680686,"[403540, 558345]","[277898, 311103]"
"183","provincia","Maipo","p134","Hombre",2013,523648.294125153,331198.456111312,"[440884, 605190]","[300407, 361268]"
"184","provincia","Maipo","p134","Hombre",2014,477558.694371821,349934.370898181,"[441012, 533855]","[303247, 364747]"
