"","geography_level","geography_name","geography_id","sex","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"661","comuna","Lampa",346,"Hombre",2015,352738.424859445,336648.892970624,"[316583, 386117]","[257642, 358950]"
"662","comuna","Lanco",132,"Hombre",2010,125823.018203171,121118.418477197,"[82861, 178389]","[60059, 205363]"
"663","comuna","Lanco",132,"Hombre",2011,153705.919238059,181874.810462471,"[107171, 182827]","[100483, 214029]"
"664","comuna","Lanco",132,"Hombre",2012,109201.621160462,105590.213785477,"[58452, 153196]","[9176, 168819]"
"665","comuna","Lanco",132,"Hombre",2013,195453.344931466,168584.228197018,"[99799, 290710]","[80108, 290393]"
"666","comuna","Lanco",132,"Hombre",2014,159819.696992322,167730.149706272,"[108477, 217683]","[80335, 254626]"
"667","comuna","Lanco",132,"Hombre",2015,217068.59484802,243488.093082217,"[163440, 284960]","[112575, 301146]"
"668","comuna","Las Cabras",133,"Hombre",2010,280286.543952768,187396.433884619,"[182190, 396974]","[157235, 209191]"
"669","comuna","Las Cabras",133,"Hombre",2011,202376.251734294,200000,"[175394, 230528]","[181079, 235866]"
"670","comuna","Las Cabras",133,"Hombre",2012,245482.870803379,201124.216734242,"[203772, 295712]","[194085, 225000]"
"671","comuna","Las Cabras",133,"Hombre",2013,270177.113508325,240325.350203345,"[234376, 344476]","[210000, 290393]"
"672","comuna","Las Cabras",133,"Hombre",2014,266000.657896373,238323.027078729,"[226234, 335640]","[227345, 262710]"
"673","comuna","Las Cabras",133,"Hombre",2015,323786.389594747,298755.965923243,"[283853, 362677]","[276694, 301151]"
"674","comuna","Las Condes",134,"Hombre",2010,1283343.66910108,999316.072300928,"[1082190, 1541234]","[800783, 1236750]"
"675","comuna","Las Condes",134,"Hombre",2011,1671068.5199685,1204822.01694769,"[1433624, 2033712]","[1081532, 1604420]"
"676","comuna","Las Condes",134,"Hombre",2012,1836731.45390621,1315568.69919075,"[1556077, 2146756]","[1052000, 1647397]"
"677","comuna","Las Condes",134,"Hombre",2013,1337808.41024926,1001355.62584727,"[1165993, 1615613]","[688124, 1374466]"
"678","comuna","Las Condes",134,"Hombre",2014,1645599.03811432,1224873.47153544,"[1384788, 2024824]","[950000, 1556051]"
"679","comuna","Las Condes",134,"Hombre",2015,2026240.97455939,1298233.33046108,"[1632811, 2424508]","[1000000, 2000000]"
"680","comuna","Lautaro",135,"Hombre",2010,268350.270002266,199473.686932307,"[173857, 409422]","[102328, 221217]"
"681","comuna","Lautaro",135,"Hombre",2011,238076.020787568,205293.49371343,"[181404, 311673]","[161738, 233443]"
"682","comuna","Lautaro",135,"Hombre",2012,197845.847183355,200902.06185567,"[149185, 242520]","[162232, 236755]"
"683","comuna","Lautaro",135,"Hombre",2013,275878.634450636,280946.555372748,"[200437, 384645]","[149434, 398489]"
