"","sex","geography_name","geography_id","year","ub_weighted_median"
"402","Hombre","Dalcahue",80,2011,195000
"403","Hombre","Dalcahue",80,2012,156330
"404","Hombre","Dalcahue",80,2013,276250
"405","Hombre","Dalcahue",80,2014,300000
"406","Hombre","Dalcahue",80,2015,250000
"407","Hombre","Diego de Almagro",81,2010,475465
"408","Hombre","Diego de Almagro",81,2011,577036
"409","Hombre","Diego de Almagro",81,2012,649646
"410","Hombre","Diego de Almagro",81,2013,598568
"411","Hombre","Diego de Almagro",81,2014,589281
"412","Hombre","Diego de Almagro",81,2015,500343
"413","Hombre","Doñihue",82,2010,579603
"414","Hombre","Doñihue",82,2011,294887
"415","Hombre","Doñihue",82,2012,400937
"416","Hombre","Doñihue",82,2013,560759
"417","Hombre","Doñihue",82,2014,505211
"418","Hombre","Doñihue",82,2015,920736
"419","Hombre","El Bosque",83,2010,282907
"420","Hombre","El Bosque",83,2011,296153
"421","Hombre","El Bosque",83,2012,345362
"422","Hombre","El Bosque",83,2013,361420
"423","Hombre","El Bosque",83,2014,390000
"424","Hombre","El Bosque",83,2015,408457
"425","Hombre","El Monte",85,2010,199863
"426","Hombre","El Monte",85,2011,249201
"427","Hombre","El Monte",85,2012,261173
"428","Hombre","El Monte",85,2013,280000
"429","Hombre","El Monte",85,2014,319940
"430","Hombre","El Monte",85,2015,385298
"431","Hombre","El Quisco",86,2010,370362
"432","Hombre","El Quisco",86,2011,301450
"433","Hombre","El Quisco",86,2012,641586
"434","Hombre","El Quisco",86,2013,520369
"435","Hombre","El Quisco",86,2014,505211
"436","Hombre","El Quisco",86,2015,481956
"437","Hombre","El Tabo",87,2010,326307
"438","Hombre","El Tabo",87,2011,445000
"439","Hombre","El Tabo",87,2012,562500
"440","Hombre","El Tabo",87,2013,449500
"441","Hombre","El Tabo",87,2014,300000
"442","Hombre","El Tabo",87,2015,600000
"443","Hombre","Empedrado",88,2010,202586
"444","Hombre","Empedrado",88,2011,498402
"445","Hombre","Empedrado",88,2012,234051
"446","Hombre","Empedrado",88,2013,344558
"447","Hombre","Empedrado",88,2014,399925
"448","Hombre","Empedrado",88,2015,1079042
"449","Hombre","Estación Central",90,2010,324166
"450","Hombre","Estación Central",90,2011,299041
"451","Hombre","Estación Central",90,2012,346835
"452","Hombre","Estación Central",90,2013,385772
"453","Hombre","Estación Central",90,2014,473101
"454","Hombre","Estación Central",90,2015,456844
"455","Hombre","Florida",91,2010,218022
"456","Hombre","Florida",91,2011,217889
"457","Hombre","Florida",91,2012,251373
"458","Hombre","Florida",91,2013,282783
"459","Hombre","Florida",91,2014,281168
"460","Hombre","Florida",91,2015,375524
"461","Hombre","Freire",92,2010,176927
"462","Hombre","Freire",92,2011,182000
"463","Hombre","Freire",92,2012,208958
"464","Hombre","Freire",92,2013,235822
"465","Hombre","Freire",92,2014,280973
"466","Hombre","Freire",92,2015,368446
"467","Hombre","Freirina",93,2010,428320
"468","Hombre","Freirina",93,2011,410000
"469","Hombre","Freirina",93,2012,440000
"470","Hombre","Freirina",93,2013,352625
"471","Hombre","Freirina",93,2014,440000
"472","Hombre","Freirina",93,2015,300000
