"","sex","work_day","geography_name","geography_id","year","lb_weighted_median"
"416","Hombre","Parcial","Coyhaique","p111",2013,124935
"417","Hombre","Parcial","Coyhaique","p111",2014,252606
"418","Hombre","Parcial","Coyhaique","p111",2015,236597
"419","Hombre","Parcial","Curicó","p73",2010,56536
"420","Hombre","Parcial","Curicó","p73",2011,87892
"421","Hombre","Parcial","Curicó","p73",2012,97137
"422","Hombre","Parcial","Curicó","p73",2013,103607
"423","Hombre","Parcial","Curicó","p73",2014,60000
"424","Hombre","Parcial","Curicó","p73",2015,107461
"425","Hombre","Parcial","El Loa","p22",2010,70059
"426","Hombre","Parcial","El Loa","p22",2011,70338
"427","Hombre","Parcial","El Loa","p22",2012,186275
"428","Hombre","Parcial","El Loa","p22",2013,248657
"429","Hombre","Parcial","El Loa","p22",2014,212815
"430","Hombre","Parcial","El Loa","p22",2015,222494
"431","Hombre","Parcial","Elqui","p41",2010,60059
"432","Hombre","Parcial","Elqui","p41",2011,53708
"433","Hombre","Parcial","Elqui","p41",2012,100562
"434","Hombre","Parcial","Elqui","p41",2013,80000
"435","Hombre","Parcial","Elqui","p41",2014,149972
"436","Hombre","Parcial","Elqui","p41",2015,139748
"437","Hombre","Parcial","General Carrera","p114",2010,30029
"438","Hombre","Parcial","General Carrera","p114",2011,200064
"439","Hombre","Parcial","General Carrera","p114",2012,110618
"440","Hombre","Parcial","General Carrera","p114",2013,100136
"441","Hombre","Parcial","General Carrera","p114",2014,50521
"442","Hombre","Parcial","General Carrera","p114",2015,244319
"443","Hombre","Parcial","Huasco","p33",2010,120000
"444","Hombre","Parcial","Huasco","p33",2011,15000
"445","Hombre","Parcial","Huasco","p33",2012,100427
"446","Hombre","Parcial","Huasco","p33",2013,59987
"447","Hombre","Parcial","Huasco","p33",2014,99981
"448","Hombre","Parcial","Huasco","p33",2015,81348
"449","Hombre","Parcial","Iquique","p11",2010,150568
"450","Hombre","Parcial","Iquique","p11",2011,149934
"451","Hombre","Parcial","Iquique","p11",2012,146135
"452","Hombre","Parcial","Iquique","p11",2013,150097
"453","Hombre","Parcial","Iquique","p11",2014,119993
"454","Hombre","Parcial","Iquique","p11",2015,120000
"455","Hombre","Parcial","Limarí","p43",2010,83447
"456","Hombre","Parcial","Limarí","p43",2011,99207
"457","Hombre","Parcial","Limarí","p43",2012,80214
"458","Hombre","Parcial","Limarí","p43",2013,120000
"459","Hombre","Parcial","Limarí","p43",2014,90947
"460","Hombre","Parcial","Limarí","p43",2015,82661
"461","Hombre","Parcial","Linares","p74",2010,39981
"462","Hombre","Parcial","Linares","p74",2011,50175
"463","Hombre","Parcial","Linares","p74",2012,46617
"464","Hombre","Parcial","Linares","p74",2013,67826
"465","Hombre","Parcial","Linares","p74",2014,75113
"466","Hombre","Parcial","Linares","p74",2015,50161
"467","Hombre","Parcial","Llanquihue","p101",2010,80000
"468","Hombre","Parcial","Llanquihue","p101",2011,80271
"469","Hombre","Parcial","Llanquihue","p101",2012,100037
"470","Hombre","Parcial","Llanquihue","p101",2013,67096
"471","Hombre","Parcial","Llanquihue","p101",2014,80839
"472","Hombre","Parcial","Llanquihue","p101",2015,80229
"473","Hombre","Parcial","Los Andes","p53",2010,80881
"474","Hombre","Parcial","Los Andes","p53",2011,49452
"475","Hombre","Parcial","Los Andes","p53",2012,76435
"476","Hombre","Parcial","Los Andes","p53",2013,146776
"477","Hombre","Parcial","Los Andes","p53",2014,93864
"478","Hombre","Parcial","Los Andes","p53",2015,125000
"479","Hombre","Parcial","Magallanes","p121",2010,90088
"480","Hombre","Parcial","Magallanes","p121",2011,101100
"481","Hombre","Parcial","Magallanes","p121",2012,40225
"482","Hombre","Parcial","Magallanes","p121",2013,191938
"483","Hombre","Parcial","Magallanes","p121",2014,111293
"484","Hombre","Parcial","Magallanes","p121",2015,92180
"485","Hombre","Parcial","Maipo","p134",2010,94415
"486","Hombre","Parcial","Maipo","p134",2011,50000
"487","Hombre","Parcial","Maipo","p134",2012,60139
"488","Hombre","Parcial","Maipo","p134",2013,110561
"489","Hombre","Parcial","Maipo","p134",2014,88859
"490","Hombre","Parcial","Maipo","p134",2015,100015
"491","Hombre","Parcial","Malleco","p92",2010,54874
"492","Hombre","Parcial","Malleco","p92",2011,49535
"493","Hombre","Parcial","Malleco","p92",2012,47581
"494","Hombre","Parcial","Malleco","p92",2013,74277
