"","sexo","rama","provincia","2011","2013","2015"
"286","Hombre","Transporte, Almacenamiento y Comunicaciones","Coyhaique",318150,3e+05,350000
"287","Hombre","Intermediación Financiera","Coyhaique",437600,7e+05,410000
"288","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Coyhaique",547000,3e+05,575000
"289","Hombre","Administración Pública y Defensa","Coyhaique",705630,8e+05,9e+05
"290","Hombre","Enseñanza","Coyhaique",547000,580000,825000
"291","Hombre","Servicios Sociales y de Salud","Coyhaique",601700,6e+05,5e+05
"292","Hombre","Servicios Comunitarios, Sociales y Personales","Coyhaique",273500,310000,270000
"293","Hombre","Servicio Doméstico","Coyhaique",191450,210000,2e+05
"294","Hombre","Organizaciones y órganos Extraterritoriales","Coyhaique",667340,NA,NA
"295","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Curicó",199108,210000,241000
"296","Hombre","Pesca","Curicó",318370,150000,210000
"297","Hombre","Explotación de Minas y Canteras","Curicó",388370,350000,375000
"298","Hombre","Industrias Manufactureras","Curicó",273500,230000,3e+05
"299","Hombre","Electricidad, Gas y Agua","Curicó",369500,301000,460000
"300","Hombre","Construcción","Curicó",218800,250000,310000
"301","Hombre","Comercio","Curicó",207860,220000,3e+05
"302","Hombre","Hoteles y Restaurantes","Curicó",246150,210000,255000
"303","Hombre","Transporte, Almacenamiento y Comunicaciones","Curicó",273500,250000,3e+05
"304","Hombre","Intermediación Financiera","Curicó",423115,5e+05,350000
"305","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Curicó",393840,350000,345000
"306","Hombre","Administración Pública y Defensa","Curicó",437600,445000,5e+05
"307","Hombre","Enseñanza","Curicó",306320,475000,5e+05
"308","Hombre","Servicios Sociales y de Salud","Curicó",355550,335000,3e+05
"309","Hombre","Servicios Comunitarios, Sociales y Personales","Curicó",410800,210000,250000
"310","Hombre","Servicio Doméstico","Curicó",197052,210000,241000
"311","Hombre","Agricultura, Ganadería, Caza y Silvicultura","El Loa",212100,2e+05,260000
"312","Hombre","Explotación de Minas y Canteras","El Loa",547000,6e+05,7e+05
"313","Hombre","Industrias Manufactureras","El Loa",410800,5e+05,4e+05
"314","Hombre","Electricidad, Gas y Agua","El Loa",547000,725000,5e+05
"315","Hombre","Construcción","El Loa",437600,350000,450000
"316","Hombre","Comercio","El Loa",334342,3e+05,360000
"317","Hombre","Hoteles y Restaurantes","El Loa",413260,250000,5e+05
"318","Hombre","Transporte, Almacenamiento y Comunicaciones","El Loa",404780,4e+05,435000
"319","Hombre","Intermediación Financiera","El Loa",464950,413464,1200000
"320","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","El Loa",525120,5e+05,5e+05
"321","Hombre","Administración Pública y Defensa","El Loa",382900,330000,7e+05
"322","Hombre","Enseñanza","El Loa",574350,750000,1e+06
"323","Hombre","Servicios Sociales y de Salud","El Loa",437600,725000,417000
"324","Hombre","Servicios Comunitarios, Sociales y Personales","El Loa",330935,280000,362500
"325","Hombre","Servicio Doméstico","El Loa",342150,4e+05,360000
"326","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Elqui",199108,210000,240000
"327","Hombre","Pesca","Elqui",308100,2e+05,234803
"328","Hombre","Explotación de Minas y Canteras","Elqui",437600,480000,6e+05
"329","Hombre","Industrias Manufactureras","Elqui",273500,3e+05,350000
"330","Hombre","Electricidad, Gas y Agua","Elqui",317260,325000,340000
"331","Hombre","Construcción","Elqui",283930,3e+05,350000
"332","Hombre","Comercio","Elqui",240680,270000,280000
"333","Hombre","Hoteles y Restaurantes","Elqui",203895,240000,267500
"334","Hombre","Transporte, Almacenamiento y Comunicaciones","Elqui",382900,3e+05,3e+05
"335","Hombre","Intermediación Financiera","Elqui",902550,520059,575000
"336","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Elqui",318150,341258,6e+05
"337","Hombre","Administración Pública y Defensa","Elqui",344610,370000,6e+05
"338","Hombre","Enseñanza","Elqui",343233,380000,450000
"339","Hombre","Servicios Sociales y de Salud","Elqui",361079,450000,4e+05
"340","Hombre","Servicios Comunitarios, Sociales y Personales","Elqui",202254,235000,320000
"341","Hombre","Servicio Doméstico","Elqui",212100,238500,250000
"342","Hombre","Agricultura, Ganadería, Caza y Silvicultura","General Carrera",273500,210000,2e+05
"343","Hombre","Explotación de Minas y Canteras","General Carrera",511172,7e+05,6e+05
"344","Hombre","Industrias Manufactureras","General Carrera",328640,297000,375000
"345","Hombre","Electricidad, Gas y Agua","General Carrera",361020,NA,356000
"346","Hombre","Construcción","General Carrera",246150,250000,3e+05
"347","Hombre","Comercio","General Carrera",328200,261782,5e+05
"348","Hombre","Hoteles y Restaurantes","General Carrera",306320,250000,6e+05
"349","Hombre","Transporte, Almacenamiento y Comunicaciones","General Carrera",328200,3e+05,3e+05
"350","Hombre","Administración Pública y Defensa","General Carrera",492300,490000,575000
"351","Hombre","Enseñanza","General Carrera",601700,378216,749000
"352","Hombre","Servicios Sociales y de Salud","General Carrera",273500,1e+06,610000
"353","Hombre","Servicios Comunitarios, Sociales y Personales","General Carrera",218800,NA,380000
"354","Hombre","Servicio Doméstico","General Carrera",246480,60000,230000
"355","Hombre","Agricultura, Ganadería, Caza y Silvicultura","Huasco",218800,2e+05,3e+05
"356","Hombre","Pesca","Huasco",410800,275000,2e+05
"357","Hombre","Explotación de Minas y Canteras","Huasco",437600,450000,5e+05
"358","Hombre","Industrias Manufactureras","Huasco",328200,320000,350000
"359","Hombre","Electricidad, Gas y Agua","Huasco",240680,480000,6e+05
"360","Hombre","Construcción","Huasco",328200,3e+05,3e+05
"361","Hombre","Comercio","Huasco",273500,230000,330000
"362","Hombre","Hoteles y Restaurantes","Huasco",308100,250000,5e+05
"363","Hombre","Transporte, Almacenamiento y Comunicaciones","Huasco",328200,4e+05,4e+05
"364","Hombre","Intermediación Financiera","Huasco",185980,350000,8e+05
"365","Hombre","Actividades Inmobiliarias, Empresariales y de Alquiler","Huasco",328200,405000,5e+05
"366","Hombre","Administración Pública y Defensa","Huasco",393840,480000,260000
"367","Hombre","Enseñanza","Huasco",328200,465000,6e+05
"368","Hombre","Servicios Sociales y de Salud","Huasco",317260,410000,8e+05
"369","Hombre","Servicios Comunitarios, Sociales y Personales","Huasco",205672,350000,525000
"370","Hombre","Servicio Doméstico","Huasco",205400,2e+05,155000
