"","sexo","region","rama","2011","2013","2015"
"213","Hombre","Arica y Parinacota","Servicios Comunitarios, Sociales y Personales",218800,228525,135000
"214","Hombre","Atacama","Servicios Comunitarios, Sociales y Personales",382900,360000,320000
"215","Hombre","Aysén","Servicios Comunitarios, Sociales y Personales",273500,325000,3e+05
"216","Hombre","Bíobío","Servicios Comunitarios, Sociales y Personales",199382,210000,250000
"217","Hombre","Coquimbo","Servicios Comunitarios, Sociales y Personales",199108,250000,315000
"218","Hombre","Los Lagos","Servicios Comunitarios, Sociales y Personales",237945,210000,250000
"219","Hombre","Los Ríos","Servicios Comunitarios, Sociales y Personales",205400,210000,241000
"220","Hombre","Magallanes","Servicios Comunitarios, Sociales y Personales",273500,3e+05,4e+05
"221","Hombre","Maule","Servicios Comunitarios, Sociales y Personales",218800,210000,265000
"222","Hombre","Metropolitana","Servicios Comunitarios, Sociales y Personales",355319,289638,368000
"223","Hombre","O'Higgins","Servicios Comunitarios, Sociales y Personales",202937,240000,250000
"224","Hombre","Tarapacá","Servicios Comunitarios, Sociales y Personales",317260,355000,350000
"225","Hombre","Valparaíso","Servicios Comunitarios, Sociales y Personales",246150,230000,266000
"226","Hombre","Antofagasta","Servicio Doméstico",270765,366317,320000
