"","geography_level","geography_name","geography_id","year","mean_income","median_income","gini_income","lb_mean_income","ub_mean_income","lb_median_income","ub_median_income","lb_gini_income","ub_gini_income"
"215","provincia","Chacabuco","p133","1998",88085,54155,0.503,81980,93481,52464,55509,0.471,0.534
"216","provincia","Chañaral","p32","1998",82322,50817,0.504,76984,91488,48205,52782,0.471,0.545
"217","provincia","Chiloé","p102","1998",71594,45140,0.471,66056,75627,43237,48488,0.448,0.49
"218","provincia","Choapa","p42","1998",62411,40960,0.483,60172,65225,40160,42687,0.469,0.497
"219","provincia","Colchagua","p63","1998",68982,44589,0.475,66445,72546,43407,45572,0.456,0.497
"220","provincia","Concepción","p81","1998",93239,50200,0.546,90320,95868,48872,51013,0.535,0.557
"221","provincia","Copiapó","p31","1998",86809,55114,0.485,82291,91409,52553,57042,0.467,0.5
"222","provincia","Cordillera","p152","1998",136496,65847,0.593,124917,145434,63072,67593,0.563,0.614
"223","provincia","Coyhaique","p111","1998",150836,75177,0.607,125823,172421,70253,79731,0.538,0.65
"224","provincia","Curicó","p73","1998",76155,46920,0.488,72808,79944,45588,48147,0.468,0.509
"225","provincia","El Loa","p22","1998",99963,66271,0.492,94251,105304,64976,68425,0.471,0.509
"226","provincia","Elqui","p41","1998",85283,50388,0.513,81960,89543,49063,51454,0.496,0.531
"227","provincia","General Carrera","p114","1998",71708,47015,0.466,64092,79967,37518,51549,0.422,0.494
"228","provincia","Huasco","p33","1998",67073,48242,0.429,64567,69300,47258,49343,0.416,0.438
"229","provincia","Iquique","p11","1998",115355,73812,0.484,106438,122853,69537,76835,0.459,0.505
"230","provincia","Limarí","p43","1998",59441,37597,0.486,56520,62704,36611,38169,0.467,0.512
"231","provincia","Linares","p74","1998",64943,39857,0.475,61829,68318,39100,41369,0.456,0.493
"232","provincia","Llanquihue","p101","1998",95500,58329,0.499,91037,101129,56430,59937,0.476,0.518
"233","provincia","Los Andes","p53","1998",81684,52646,0.482,78576,84768,51843,53571,0.464,0.497
"234","provincia","Magallanes","p121","1998",125452,83141,0.469,116643,134942,78419,86308,0.442,0.499
"235","provincia","Maipo","p134","1998",99743,58600,0.528,92434,110845,57135,59797,0.49,0.572
"236","provincia","Malleco","p92","1998",54135,31740,0.515,51577,56507,30899,32791,0.497,0.533
"237","provincia","Marga Marga","p58","1998",103575,65940,0.475,99284,107142,62736,68198,0.461,0.487
"238","provincia","Melipilla","p135","1998",69042,45959,0.467,67319,71268,45029,46882,0.454,0.478
"239","provincia","Ñuble","p84","1998",76474,41126,0.563,70180,84483,40016,42612,0.521,0.605
"240","provincia","Osorno","p103","1998",77750,46920,0.522,72480,83653,44442,48875,0.502,0.542
"241","provincia","Parinacota","p152","1998",91773,55097,0.486,86692,96998,50220,59517,0.465,0.506
"242","provincia","Petorca","p54","1998",70437,44779,0.474,67362,75315,43582,46588,0.454,0.5
"243","provincia","Quillota","p55","1998",83842,54932,0.476,80203,87967,53353,56143,0.459,0.495
"244","provincia","Ranco","p142","1998",56402,30818,0.537,51654,60602,29609,32553,0.502,0.573
"245","provincia","San Antonio","p56","1998",95157,60169,0.487,90127,98712,58650,61272,0.464,0.505
"246","provincia","San Felipe","p57","1998",68657,49308,0.422,66651,70392,48149,50429,0.414,0.432
"247","provincia","Santiago","p131","1998",160533,79983,0.584,157306,164048,78822,80538,0.577,0.591
"248","provincia","Talagante","p136","1998",80268,50902,0.482,76775,84676,49549,51672,0.462,0.503
"249","provincia","Talca","p71","1998",79969,45014,0.536,73449,86222,42557,46544,0.5,0.567
"250","provincia","Tamarugal","p12","1998",68497,44948,0.504,65515,71387,43404,45783,0.486,0.516
