"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"175","provincia","Marga Marga","p58","1992","Mujer",79863,53650,"[64301, 99046]","[42853, 64380]"
"176","provincia","Melipilla","p135","1992","Mujer",70857,47212,"[63274, 81138]","[42920, 55214]"
"177","provincia","Ñuble","p84","1992","Mujer",76336,42920,"[65374, 97763]","[41590, 48285]"
"178","provincia","Osorno","p103","1992","Mujer",71593,42920,"[59441, 87599]","[40774, 50186]"
"179","provincia","Petorca","p54","1992","Mujer",87755,46973,"[66881, 113822]","[39971, 62841]"
"180","provincia","Quillota","p55","1992","Mujer",93233,42920,"[52578, 217111]","[41241, 46311]"
"181","provincia","Ranco","p142","1992","Mujer",123015,75110,"[82508, 163083]","[60088, 93351]"
"182","provincia","San Antonio","p56","1992","Mujer",89760,58753,"[70392, 115135]","[47149, 69896]"
"183","provincia","San Felipe","p57","1992","Mujer",65863,42920,"[52361, 80544]","[41418, 43259]"
"184","provincia","Santiago","p131","1992","Mujer",114996,64380,"[108808, 122250]","[64380, 64380]"
"185","provincia","Talagante","p136","1992","Mujer",88126,53650,"[76601, 101231]","[48285, 60994]"
"186","provincia","Talca","p71","1992","Mujer",79536,49318,"[70896, 86771]","[42920, 58710]"
"187","provincia","Tamarugal","p12","1992","Mujer",59845,40774,"[41656, 94246]","[28145, 58710]"
"188","provincia","Tierra del Fuego","p123","1992","Mujer",89148,40774,"[47012, 159602]","[27120, 156560]"
"189","provincia","Tocopilla","p23","1992","Mujer",64619,42920,"[50791, 76673]","[32190, 52202]"
"190","provincia","Última Esperanza","p124","1992","Mujer",65920,40995,"[40392, 110325]","[32190, 50491]"
"191","provincia","Valdivia","p141","1992","Mujer",74347,48285,"[62038, 87501]","[42920, 53650]"
"192","provincia","Valparaíso","p51","1992","Mujer",85442,53650,"[69498, 108362]","[49868, 59516]"
"193","provincia","Antofagasta","p21","1994","Hombre",180386,107100,"[158656, 218583]","[107100, 118107]"
"194","provincia","Arauco","p82","1994","Hombre",95860,64373,"[90786, 101481]","[64260, 69615]"
"195","provincia","Arica","p151","1994","Hombre",207198,120360,"[177352, 243886]","[107100, 128520]"
"196","provincia","Aysén","p112","1994","Hombre",138080,85680,"[113415, 167510]","[83623, 94248]"
