"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"213","region","Arica y Parinacota","15","2006","Hombre",239829,181800,"[218041, 261420]","[151500, 199910]"
"214","region","Atacama","3","2006","Hombre",353851,237120,"[319265, 389427]","[213544, 252500]"
"215","region","Aysén","11","2006","Hombre",322261,235889,"[302117, 346551]","[202000, 252500]"
"216","region","Bíobío","8","2006","Hombre",277710,158080,"[263133, 295960]","[151500, 161600]"
"217","region","Coquimbo","4","2006","Hombre",273036,158080,"[250042, 297666]","[151500, 171700]"
"218","region","Los Lagos","10","2006","Hombre",266887,167960,"[248353, 288503]","[158960, 180840]"
"219","region","Los Ríos","14","2006","Hombre",252099,151500,"[226361, 279301]","[148369, 158080]"
"220","region","Magallanes","12","2006","Hombre",361199,254403,"[311515, 393979]","[242400, 292605]"
"221","region","Maule","7","2006","Hombre",232752,137360,"[221605, 246433]","[136350, 140440]"
"222","region","Metropolitana","13","2006","Hombre",440804,232300,"[424486, 459324]","[222200, 237120]"
"223","region","O'Higgins","6","2006","Hombre",265065,158080,"[248914, 284259]","[151500, 161600]"
"224","region","Tarapacá","1","2006","Hombre",309828,222200,"[287507, 366920]","[202000, 275862]"
"225","region","Valparaíso","5","2006","Hombre",288499,181800,"[273785, 302943]","[181800, 186790]"
"226","region","Antofagasta","2","2006","Mujer",224116,161600,"[204775, 247145]","[151500, 179765]"
"227","region","Araucanía","9","2006","Mujer",213549,131300,"[192905, 234572]","[121200, 136350]"
"228","region","Arica y Parinacota","15","2006","Mujer",153881,136350,"[136087, 173830]","[121200, 146450]"
"229","region","Atacama","3","2006","Mujer",226762,138320,"[197826, 275422]","[131300, 151500]"
"230","region","Aysén","11","2006","Mujer",230416,158080,"[209300, 255450]","[142419, 181800]"
"231","region","Bíobío","8","2006","Mujer",204567,136350,"[192329, 215183]","[131300, 136350]"
"232","region","Coquimbo","4","2006","Mujer",191840,136350,"[176223, 217702]","[131300, 136350]"
"233","region","Los Lagos","10","2006","Mujer",215135,136855,"[193808, 266236]","[136350, 141400]"
"234","region","Los Ríos","14","2006","Mujer",193880,131300,"[174072, 219881]","[118560, 136350]"
"235","region","Magallanes","12","2006","Mujer",284085,160844,"[224961, 375156]","[141400, 171700]"
"236","region","Maule","7","2006","Mujer",195677,136350,"[181710, 225710]","[136350, 136350]"
"237","region","Metropolitana","13","2006","Mujer",295145,181800,"[283827, 308399]","[177798, 181800]"
"238","region","O'Higgins","6","2006","Mujer",190292,136350,"[176377, 206989]","[136350, 136350]"
"239","region","Tarapacá","1","2006","Mujer",198312,151500,"[179531, 220194]","[138320, 181800]"
"240","region","Valparaíso","5","2006","Mujer",207535,136350,"[192405, 225855]","[133320, 136350]"
"241","region","Antofagasta","2","2009","Hombre",498160,369720,"[463048, 530032]","[331500, 386750]"
"242","region","Araucanía","9","2009","Hombre",340198,196690,"[308841, 383008]","[184895, 198900]"
"243","region","Arica y Parinacota","15","2009","Hombre",415280,331500,"[368973, 486002]","[276250, 331500]"
"244","region","Atacama","3","2009","Hombre",396590,331500,"[366565, 433157]","[276844, 331500]"
"245","region","Aysén","11","2009","Hombre",449469,287577,"[402701, 518768]","[276250, 331500]"
"246","region","Bíobío","8","2009","Hombre",334032,221000,"[320439, 346875]","[215475, 221000]"
"247","region","Coquimbo","4","2009","Hombre",358451,221000,"[337100, 379174]","[221000, 243100]"
"248","region","Los Lagos","10","2009","Hombre",321294,205400,"[299230, 348718]","[198900, 221000]"
"249","region","Los Ríos","14","2009","Hombre",322557,205400,"[298157, 357122]","[198900, 211110]"
"250","region","Magallanes","12","2009","Hombre",520586,322827,"[427556, 649468]","[308100, 359125]"
"251","region","Maule","7","2009","Hombre",320757,193375,"[305285, 345047]","[183900, 198900]"
"252","region","Metropolitana","13","2009","Hombre",620508,309400,"[592791, 648802]","[308100, 326817]"
"253","region","O'Higgins","6","2009","Hombre",354745,221000,"[336347, 373362]","[205400, 221000]"
"254","region","Tarapacá","1","2009","Hombre",423031,308100,"[382056, 464518]","[281970, 331500]"
"255","region","Valparaíso","5","2009","Hombre",377372,253186,"[362509, 397204]","[243100, 265200]"
"256","region","Antofagasta","2","2009","Mujer",285377,221000,"[260798, 310680]","[205400, 221000]"
"257","region","Araucanía","9","2009","Mujer",249291,182186,"[232232, 269873]","[176800, 182325]"
"258","region","Arica y Parinacota","15","2009","Mujer",297866,209902,"[261418, 338722]","[186745, 236077]"
"259","region","Atacama","3","2009","Mujer",252662,198900,"[229442, 273935]","[182325, 207215]"
"260","region","Aysén","11","2009","Mujer",380679,217577,"[337614, 424545]","[198900, 259521]"
"261","region","Bíobío","8","2009","Mujer",261834,182325,"[248851, 273455]","[182325, 187850]"
"262","region","Coquimbo","4","2009","Mujer",235520,182325,"[219676, 249330]","[182325, 185850]"
"263","region","Los Lagos","10","2009","Mujer",251313,182325,"[237528, 268743]","[176800, 182325]"
"264","region","Los Ríos","14","2009","Mujer",266576,187850,"[239673, 301081]","[182325, 217005]"
"265","region","Magallanes","12","2009","Mujer",249649,198900,"[210278, 339867]","[176800, 229993]"
"266","region","Maule","7","2009","Mujer",292197,182325,"[253430, 362962]","[181841, 182325]"
"267","region","Metropolitana","13","2009","Mujer",383794,236217,"[365847, 408204]","[221000, 244874]"
"268","region","O'Higgins","6","2009","Mujer",254893,184860,"[242893, 267746]","[182325, 193375]"
"269","region","Tarapacá","1","2009","Mujer",297749,221000,"[265949, 333579]","[202679, 250507]"
"270","region","Valparaíso","5","2009","Mujer",244452,182325,"[232710, 254195]","[182325, 186745]"
"271","region","Antofagasta","2","2011","Hombre",615941,439608,"[580816, 663924]","[437600, 492300]"
"272","region","Araucanía","9","2011","Hombre",354820,205400,"[328051, 397608]","[199108, 218800]"
"273","region","Arica y Parinacota","15","2011","Hombre",462682,328200,"[431619, 519824]","[284086, 328200]"
"274","region","Atacama","3","2011","Hombre",495620,382900,"[473448, 528124]","[361020, 392494]"
"275","region","Aysén","11","2011","Hombre",547922,328200,"[517952, 604959]","[328200, 369720]"
"276","region","Bíobío","8","2011","Hombre",419314,246480,"[383005, 468367]","[218800, 273500]"
"277","region","Coquimbo","4","2011","Hombre",402628,273500,"[376898, 424136]","[273500, 306320]"
"278","region","Los Lagos","10","2011","Hombre",401138,218800,"[368459, 443146]","[218800, 232957]"
"279","region","Los Ríos","14","2011","Hombre",370404,218800,"[347899, 399815]","[218800, 240680]"
"280","region","Magallanes","12","2011","Hombre",612244,350080,"[535889, 717246]","[328200, 388930]"
"281","region","Maule","7","2011","Hombre",327685,205400,"[311726, 344591]","[204578, 207860]"
"282","region","Metropolitana","13","2011","Hombre",587918,328200,"[555550, 625156]","[306320, 328200]"
"283","region","O'Higgins","6","2011","Hombre",374687,262560,"[352236, 424136]","[240680, 284966]"
"284","region","Tarapacá","1","2011","Hombre",500900,382900,"[476607, 537472]","[369720, 400789]"
"285","region","Valparaíso","5","2011","Hombre",419842,273500,"[396118, 447023]","[256463, 273500]"
"286","region","Antofagasta","2","2011","Mujer",405549,273500,"[375119, 469248]","[272406, 306320]"
"287","region","Araucanía","9","2011","Mujer",373184,199108,"[337655, 429011]","[196920, 218800]"
