"","geography_level","geography_name","geography_id","year","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1685","comuna","Rancagua","259","1996","Mujer",210165,120000,"[169678, 271394]","[100000, 123428]"
"1688","comuna","Renca","264","1996","Hombre",162804,115000,"[127667, 212457]","[81720, 145000]"
"1689","comuna","Renca","264","1996","Mujer",162804,115000,"[127667, 212457]","[81720, 145000]"
"1690","comuna","Rengo","265","1996","Hombre",123728,80280,"[109677, 136879]","[72497, 90000]"
"1691","comuna","Rengo","265","1996","Mujer",123728,80280,"[109677, 136879]","[72497, 90000]"
"1692","comuna","Saavedra","276","1996","Hombre",92524,61290,"[80281, 102654]","[60000, 69381]"
"1693","comuna","Saavedra","276","1996","Mujer",92524,61290,"[80281, 102654]","[60000, 69381]"
"1694","comuna","San Antonio","279","1996","Hombre",195523,122580,"[169206, 238468]","[107950, 150000]"
"1695","comuna","San Antonio","279","1996","Mujer",195523,122580,"[169206, 238468]","[107950, 150000]"
"1696","comuna","San Bernardo","280","1996","Hombre",184081,120000,"[159385, 216952]","[120000, 130000]"
"1697","comuna","San Bernardo","280","1996","Mujer",184081,120000,"[159385, 216952]","[120000, 130000]"
"1698","comuna","San Clemente","282","1996","Hombre",93965,65000,"[81482, 106329]","[60000, 70904]"
"1699","comuna","San Clemente","282","1996","Mujer",93965,65000,"[81482, 106329]","[60000, 70904]"
"1700","comuna","San Felipe","285","1996","Hombre",163511,100000,"[142135, 186437]","[90000, 110000]"
"1701","comuna","San Felipe","285","1996","Mujer",163511,100000,"[142135, 186437]","[90000, 110000]"
"1702","comuna","San Fernando","286","1996","Hombre",156236,90000,"[133406, 183367]","[80000, 101050]"
"1703","comuna","San Fernando","286","1996","Mujer",156236,90000,"[133406, 183367]","[80000, 101050]"
"1708","comuna","San Miguel","293","1996","Hombre",316001,200000,"[274777, 371192]","[180000, 206821]"
"1709","comuna","San Miguel","293","1996","Mujer",316001,200000,"[274777, 371192]","[180000, 206821]"
"1714","comuna","San Ramón","300","1996","Hombre",153007,120000,"[137914, 170498]","[102150, 126907]"
"1715","comuna","San Ramón","300","1996","Mujer",153007,120000,"[137914, 170498]","[102150, 126907]"
"1716","comuna","San Vicente","302","1996","Hombre",184880,100000,"[147999, 224538]","[89475, 113004]"
"1717","comuna","San Vicente","302","1996","Mujer",184880,100000,"[147999, 224538]","[89475, 113004]"
"1718","comuna","Santa Cruz","304","1996","Hombre",142269,72000,"[122874, 163886]","[67281, 90000]"
"1719","comuna","Santa Cruz","304","1996","Mujer",142269,72000,"[122874, 163886]","[67281, 90000]"
"1720","comuna","Santiago","307","1996","Hombre",280915,200000,"[256195, 326468]","[190000, 235750]"
"1721","comuna","Santiago","307","1996","Mujer",280915,200000,"[256195, 326468]","[190000, 235750]"
"1722","comuna","Sierra Gorda","309","1996","Hombre",213766,169120,"[184053, 241860]","[151613, 180000]"
"1723","comuna","Sierra Gorda","309","1996","Mujer",213766,169120,"[184053, 241860]","[151613, 180000]"
"1724","comuna","Talagante","310","1996","Hombre",154437,85500,"[115099, 190552]","[80000, 108306]"
"1725","comuna","Talagante","310","1996","Mujer",154437,85500,"[115099, 190552]","[80000, 108306]"
"1726","comuna","Talca","311","1996","Hombre",205609,100000,"[170009, 239515]","[90000, 104692]"
"1727","comuna","Talca","311","1996","Mujer",205609,100000,"[170009, 239515]","[90000, 104692]"
"1728","comuna","Talcahuano","312","1996","Hombre",165953,120000,"[151846, 181331]","[113882, 138563]"
"1729","comuna","Talcahuano","312","1996","Mujer",165953,120000,"[151846, 181331]","[113882, 138563]"
"1730","comuna","Temuco","314","1996","Hombre",202741,108000,"[175495, 240211]","[97880, 120000]"
"1731","comuna","Temuco","314","1996","Mujer",202741,108000,"[175495, 240211]","[97880, 120000]"
"1732","comuna","Teno","315","1996","Hombre",87185,60000,"[75564, 101713]","[60000, 65129]"
"1733","comuna","Teno","315","1996","Mujer",87185,60000,"[75564, 101713]","[60000, 65129]"
"1734","comuna","Teodoro Schmidt","316","1996","Hombre",74397,80000,"[66773, 84492]","[65689, 81720]"
"1735","comuna","Teodoro Schmidt","316","1996","Mujer",74397,80000,"[66773, 84492]","[65689, 81720]"
"1736","comuna","Tierra Amarilla","317","1996","Hombre",146222,90000,"[108429, 200805]","[80000, 97575]"
"1737","comuna","Tierra Amarilla","317","1996","Mujer",146222,90000,"[108429, 200805]","[80000, 97575]"
"1740","comuna","Tocopilla","321","1996","Hombre",224441,150000,"[183148, 256999]","[142000, 176841]"
"1741","comuna","Tocopilla","321","1996","Mujer",224441,150000,"[183148, 256999]","[142000, 176841]"
"1744","comuna","Tomé","323","1996","Hombre",125874,100000,"[111122, 143584]","[82672, 121955]"
"1745","comuna","Tomé","323","1996","Mujer",125874,100000,"[111122, 143584]","[82672, 121955]"
"1746","comuna","Traiguén","326","1996","Hombre",116432,69329,"[92207, 154673]","[62384, 74870]"
"1747","comuna","Traiguén","326","1996","Mujer",116432,69329,"[92207, 154673]","[62384, 74870]"
"1748","comuna","Valdivia","329","1996","Hombre",199696,115102,"[172200, 226207]","[103829, 130000]"
"1749","comuna","Valdivia","329","1996","Mujer",199696,115102,"[172200, 226207]","[103829, 130000]"
"1750","comuna","Vallenar","330","1996","Hombre",205142,120000,"[162036, 269715]","[103301, 132795]"
