"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"238","provincia","Última Esperanza","p124","1994","Hombre",140669,83691,"[109190, 176785]","[74970, 91570]"
"239","provincia","Valdivia","p141","1994","Hombre",111980,64260,"[99934, 124950]","[60676, 66893]"
"240","provincia","Valparaíso","p51","1994","Hombre",146820,90780,"[136847, 157483]","[88217, 96390]"
"241","provincia","Antofagasta","p21","1994","Mujer",129922,74970,"[98983, 178619]","[72159, 76418]"
"242","provincia","Arauco","p82","1994","Mujer",83397,55692,"[76171, 91599]","[53550, 64260]"
"243","provincia","Arica","p151","1994","Mujer",157629,90780,"[130014, 201764]","[76506, 105910]"
"244","provincia","Aysén","p112","1994","Mujer",113018,64260,"[84924, 146571]","[59276, 74970]"
"245","provincia","Bíobío","p83","1994","Mujer",82231,53550,"[71273, 95853]","[49266, 55692]"
"246","provincia","Cachapoal","p61","1994","Mujer",100648,68544,"[92080, 110433]","[64260, 74970]"
"247","provincia","Cardenal Caro","p62","1994","Mujer",68141,54621,"[54267, 81959]","[42104, 80130]"
"248","provincia","Cauquenes","p72","1994","Mujer",77514,56763,"[67651, 90340]","[50283, 68888]"
"249","provincia","Cautín","p91","1994","Mujer",109374,64260,"[92639, 133802]","[58905, 74970]"
"250","provincia","Chacabuco","p133","1994","Mujer",88321,64260,"[77093, 102590]","[64260, 70064]"
"251","provincia","Chañaral","p32","1994","Mujer",94129,82178,"[80294, 112114]","[66056, 106817]"
"252","provincia","Chiloé","p102","1994","Mujer",127658,64260,"[88406, 199460]","[53550, 93725]"
"253","provincia","Choapa","p42","1994","Mujer",93231,59440,"[75187, 116798]","[55692, 64260]"
"254","provincia","Colchagua","p63","1994","Mujer",82135,64260,"[71648, 97776]","[57834, 66429]"
"255","provincia","Concepción","p81","1994","Mujer",101539,64260,"[91318, 115777]","[60520, 64260]"
"256","provincia","Copiapó","p31","1994","Mujer",96426,74970,"[85863, 107499]","[64260, 75650]"
"257","provincia","Cordillera","p152","1994","Mujer",140446,80325,"[118200, 162628]","[74970, 85680]"
"258","provincia","Coyhaique","p111","1994","Mujer",110188,64260,"[94777, 127251]","[60520, 75650]"
"259","provincia","Curicó","p73","1994","Mujer",82280,55692,"[66572, 97929]","[53550, 55692]"
"260","provincia","El Loa","p22","1994","Mujer",85693,61319,"[73527, 94386]","[55789, 67039]"
"261","provincia","Elqui","p41","1994","Mujer",75502,59976,"[69834, 81802]","[55692, 64260]"
"262","provincia","Huasco","p33","1994","Mujer",83578,55692,"[75430, 92473]","[53903, 63372]"
"263","provincia","Iquique","p11","1994","Mujer",128532,90780,"[109010, 145983]","[79786, 100326]"
"264","provincia","Limarí","p43","1994","Mujer",71839,55692,"[64624, 80471]","[51408, 59976]"
"265","provincia","Linares","p74","1994","Mujer",75948,55692,"[69997, 84105]","[55692, 55853]"
"266","provincia","Llanquihue","p101","1994","Mujer",153346,64260,"[105662, 223536]","[56285, 74970]"
"267","provincia","Los Andes","p53","1994","Mujer",80927,64260,"[74999, 89808]","[61699, 64260]"
"268","provincia","Magallanes","p121","1994","Mujer",141578,101745,"[118676, 160412]","[85680, 107100]"
"269","provincia","Maipo","p134","1994","Mujer",110755,74970,"[95870, 123577]","[64260, 75327]"
"270","provincia","Malleco","p92","1994","Mujer",145140,72292,"[108703, 189826]","[58905, 88036]"
"271","provincia","Marga Marga","p58","1994","Mujer",100395,64260,"[91028, 112138]","[64260, 75650]"
"272","provincia","Melipilla","p135","1994","Mujer",82423,64260,"[76257, 87865]","[63135, 64260]"
"273","provincia","Ñuble","p84","1994","Mujer",73217,49266,"[68822, 79306]","[48195, 53550]"
"274","provincia","Osorno","p103","1994","Mujer",107734,74970,"[88691, 130938]","[64260, 75650]"
"275","provincia","Petorca","p54","1994","Mujer",90495,64260,"[82548, 101063]","[60520, 67527]"
