"","geography_level","geography_name","geography_id","year","sexo","mean_income","median_income","ci_mean_income","ci_median_income"
"260","comuna","Quillota","252","1990","Mujer",38123,31287,"[31450, 47264]","[27603, 38656]"
"261","comuna","Quilpué","253","1990","Mujer",65513,43488,"[49079, 83343]","[35640, 62816]"
"262","comuna","Quinta Normal","256","1990","Mujer",54772,42280,"[43986, 65590]","[36814, 45904]"
"263","comuna","Rancagua","259","1990","Mujer",62766,36240,"[55666, 72398]","[31408, 43548]"
"264","comuna","Renaico","263","1990","Mujer",102584,62816,"[33963, 184066]","[16912, 257400]"
"265","comuna","Renca","264","1990","Mujer",47274,36361,"[42621, 53747]","[36240, 44200]"
"266","comuna","Rengo","265","1990","Mujer",38689,33824,"[34999, 43097]","[31408, 38656]"
"267","comuna","Saavedra","276","1990","Mujer",39709,30804,"[30526, 51443]","[18519, 52166]"
"268","comuna","San Antonio","279","1990","Mujer",35494,33335,"[27740, 46803]","[29700, 40373]"
"269","comuna","San Bernardo","280","1990","Mujer",60114,39600,"[49572, 77956]","[36240, 43903]"
"270","comuna","San Clemente","282","1990","Mujer",37561,25489,"[23907, 52886]","[18120, 53460]"
"271","comuna","San Felipe","285","1990","Mujer",49709,36240,"[40482, 60913]","[31408, 42280]"
"272","comuna","San Fernando","286","1990","Mujer",41902,35032,"[35057, 49577]","[30200, 43548]"
"273","comuna","San Joaquín","290","1990","Mujer",44161,33824,"[37870, 51635]","[31408, 38161]"
"274","comuna","San José de Maipo","291","1990","Mujer",52040,31408,"[39708, 76643]","[28474, 36240]"
"275","comuna","San Miguel","293","1990","Mujer",53823,42280,"[46987, 60955]","[36240, 48320]"
"276","comuna","San Nicolás","294","1990","Mujer",17600,15840,"[3960, 33001]","[3960, 33001]"
"277","comuna","San Pedro","296","1990","Mujer",28374,31408,"[21661, 34205]","[16912, 38004]"
"278","comuna","San Ramón","300","1990","Mujer",41081,36240,"[35672, 48381]","[32556, 36240]"
"279","comuna","San Vicente","302","1990","Mujer",40018,36240,"[32247, 50252]","[29700, 42280]"
"280","comuna","Santa Cruz","304","1990","Mujer",28606,31408,"[17900, 39765]","[5798, 36240]"
"281","comuna","Santiago","307","1990","Mujer",65759,48320,"[57554, 77180]","[40708, 59925]"
