"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"149","comuna","Cartagena","30","Hombre","Asalariado Sector Privado",2011,478465.732819404,448561.624518191,"[248703, 697763]","[219297, 797443]"
"150","comuna","Cartagena","30","Hombre","Asalariado Sector Privado",2012,449618.814432991,251127.577319588,"[217050, 873447]","[195880, 1305863]"
"151","comuna","Cartagena","30","Hombre","Asalariado Sector Privado",2013,279241.50332674,319389.318467901,"[159396, 389125]","[79698, 398489]"
"152","comuna","Cartagena","30","Hombre","Asalariado Sector Privado",2014,264283.767735484,314940.933808363,"[157970, 319940]","[157970, 319940]"
"153","comuna","Cartagena","30","Hombre","Asalariado Sector Privado",2015,404609.462384992,434117.445426666,"[297080, 489132]","[240065, 510138]"
"154","comuna","Casablanca","31","Hombre","Asalariado Sector Privado",2010,308428.579449601,290800.97703957,"[239806, 378461]","[210275, 392644]"
"155","comuna","Casablanca","31","Hombre","Asalariado Sector Privado",2011,347995.215860779,249200.902510106,"[235235, 507899]","[179425, 687794]"
"156","comuna","Casablanca","31","Hombre","Asalariado Sector Privado",2012,291307.989690722,210947.164948454,"[157457, 493667]","[100451, 703157]"
"157","comuna","Casablanca","31","Hombre","Asalariado Sector Privado",2014,521756.504901199,358700.01895016,"[242166, 951332]","[191980, 404169]"
"158","comuna","Casablanca","31","Hombre","Asalariado Sector Privado",2015,438669.041007688,393597.247374141,"[343329, 601134]","[321304, 602445]"
"159","comuna","Castro","32","Hombre","Asalariado Sector Privado",2010,254204.456491103,200000,"[203065, 319070]","[162558, 244535]"
"160","comuna","Castro","32","Hombre","Asalariado Sector Privado",2011,334982.225166328,256453.290274377,"[284822, 395203]","[219297, 320000]"
"161","comuna","Castro","32","Hombre","Asalariado Sector Privado",2012,476107.051739697,283278.33116836,"[361857, 615903]","[235069, 600000]"
"162","comuna","Castro","32","Hombre","Asalariado Sector Privado",2013,402670.14693599,291606.916806413,"[322958, 535864]","[250339, 376508]"
"163","comuna","Castro","32","Hombre","Asalariado Sector Privado",2014,424580.151196032,292167.90986254,"[337239, 522170]","[252606, 327013]"
"164","comuna","Castro","32","Hombre","Asalariado Sector Privado",2015,428229.990759125,300081.183474654,"[327269, 544610]","[270999, 351426]"
"165","comuna","Catemu","33","Hombre","Asalariado Sector Privado",2010,303107.079408703,210908.023302625,"[242696, 366140]","[194191, 270134]"
"166","comuna","Catemu","33","Hombre","Asalariado Sector Privado",2011,316898.077659135,251208.301743745,"[266826, 377733]","[223231, 286076]"
"167","comuna","Catemu","33","Hombre","Asalariado Sector Privado",2012,425840.124301011,393010.365137576,"[333389, 553340]","[271218, 447201]"
