"","sexo","oficio_id","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"162","Hombre","Oficiales, Operarios y Artesanos","Coyhaique",51480,NA,107100,NA,NA,120000,NA,NA,NA,NA,NA,NA
"163","Hombre","Operadores y Montadores","Coyhaique",114760,84996,120488,NA,NA,110000,NA,NA,NA,NA,NA,NA
"164","Hombre","Profesionales y Científicos","Coyhaique",68856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Hombre","Técnicos y Profesionales Nivel Medio","Coyhaique",59400,158268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Hombre","Agricultores y  y Trabajadores Calificados","Curicó",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Hombre","Comerciantes y Vendedores","Curicó",41072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Hombre","Empleados de Oficina","Curicó",31408,NA,NA,105000,140560,NA,150000,171700,265200,262560,255000,320000
"169","Hombre","Ff.aa.","Curicó",60400,NA,128520,NA,NA,150000,NA,NA,NA,NA,NA,NA
"170","Hombre","Miembros del Poder Ejecutivo","Curicó",787286,NA,NA,NA,NA,NA,NA,NA,616200,NA,NA,NA
"171","Hombre","Oficiales, Operarios y Artesanos","Curicó",41314,NA,74970,NA,NA,127820,NA,NA,NA,NA,NA,NA
"172","Hombre","Operadores y Montadores","Curicó",75500,107300,70686,NA,NA,150000,NA,NA,NA,NA,NA,NA
"173","Hombre","Profesionales y Científicos","Curicó",51480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Hombre","Técnicos y Profesionales Nivel Medio","Curicó",62816,104618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Hombre","Agricultores y  y Trabajadores Calificados","El Loa",47920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Hombre","Comerciantes y Vendedores","El Loa",72480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Hombre","Empleados de Oficina","El Loa",36240,NA,NA,150000,160640,NA,2e+05,259719,353600,382900,350000,6e+05
"178","Hombre","Ff.aa.","El Loa",125632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Hombre","Miembros del Poder Ejecutivo","El Loa",591920,NA,NA,NA,NA,NA,NA,NA,639600,NA,NA,NA
