"","sexo","region","oficio_id","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"139","Hombre","Coquimbo","Trabajadores No Calificados",51480,42996,NA,65000,80822,NA,110000,136350,182325,202390,211757,248000
"140","Hombre","Los Lagos","Trabajadores No Calificados",46780,40774,NA,65000,80320,NA,111000,136350,176800,199108,210000,241000
"141","Hombre","Metropolitana","Trabajadores No Calificados",50132,53650,NA,96000,100400,NA,120000,141400,191942,218800,230000,280000
"142","Hombre","O'Higgins","Trabajadores No Calificados",25542,46139,NA,65500,82384,NA,112000,131300,182325,199108,210000,247000
"143","Hombre","Tarapacá","Trabajadores No Calificados",132880,63746,NA,91935,97750,NA,120000,136350,205400,262560,250000,3e+05
"144","Hombre","Valparaíso","Trabajadores No Calificados",99056,48285,NA,75000,85340,NA,115000,136350,182325,199108,210000,250000
"145","Mujer","Antofagasta","Agricultores y  y Trabajadores Calificados",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Mujer","Araucanía","Agricultores y  y Trabajadores Calificados",18120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Mujer","Arica y Parinacota","Agricultores y  y Trabajadores Calificados",32204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Mujer","Atacama","Agricultores y  y Trabajadores Calificados",33220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Mujer","Aysén","Agricultores y  y Trabajadores Calificados",29700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Mujer","Bíobío","Agricultores y  y Trabajadores Calificados",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Mujer","Coquimbo","Agricultores y  y Trabajadores Calificados",31408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Mujer","Los Lagos","Agricultores y  y Trabajadores Calificados",29700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
