"","sexo","region","oficio","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"144","Hombre","Valparaíso","Trabajadores No Calificados",84519,67089,71671,90375,102907,108168,125675,145426,204099,232915,234445,265509
"145","Mujer","Antofagasta","Empleados de Oficina",36593,100186,112239,131967,143725,171205,179528,228816,274937,331192,335671,440989
"146","Mujer","Araucanía","Empleados de Oficina",32243,69569,95969,108824,119463,131733,143331,162952,190781,253141,289246,278422
"147","Mujer","Arica y Parinacota","Empleados de Oficina",41563,87553,154714,100160,156368,157074,153520,155185,201642,292087,275928,347180
"148","Mujer","Atacama","Empleados de Oficina",27240,83899,105457,120649,135618,153763,153495,185242,240979,294380,322592,355082
"149","Mujer","Aysén","Empleados de Oficina",30972,85431,110486,130403,155609,197011,217690,250405,326549,359468,347642,452564
"150","Mujer","Bíobío","Empleados de Oficina",24115,68596,102156,117754,147964,144067,148621,172295,243771,258415,275236,293125
"151","Mujer","Coquimbo","Empleados de Oficina",25735,69152,87260,113558,167629,133477,166714,163096,232136,253700,253281,320702
"152","Mujer","Los Lagos","Empleados de Oficina",26109,73879,126042,109369,166460,158517,160824,182144,247638,278539,274960,323342
"153","Mujer","Los Ríos","Empleados de Oficina",29947,85604,140808,109854,117545,186182,154147,168739,239256,274441,283053,294291
"154","Mujer","Magallanes","Empleados de Oficina",39915,82275,127538,115172,145876,184048,187939,241439,283897,335471,344336,422460
"155","Mujer","Maule","Empleados de Oficina",36223,77606,93478,102373,135452,144930,149301,174060,249428,244963,276112,309584
"156","Mujer","Metropolitana","Empleados de Oficina",34258,99011,130594,164868,187647,191897,213937,226502,280049,311646,332179,395484
"157","Mujer","O'Higgins","Empleados de Oficina",29071,76635,126118,123405,156281,139993,156627,184677,220855,253767,285372,323003
"158","Mujer","Tarapacá","Empleados de Oficina",65616,76265,135809,164808,158791,148475,169325,177242,272397,328320,347704,358741
"159","Mujer","Valparaíso","Empleados de Oficina",28803,76595,98903,122805,144522,146259,157837,177793,242521,275677,289775,318894
"160","Mujer","Antofagasta","Fuerzas Armadas",78757,NA,NA,NA,NA,NA,NA,NA,NA,1203400,480000,NA
"161","Mujer","Araucanía","Fuerzas Armadas",70350,NA,160650,NA,NA,2e+05,NA,NA,NA,678280,4e+05,NA
"162","Mujer","Arica y Parinacota","Fuerzas Armadas",95163,NA,166005,NA,NA,NA,480000,NA,607750,NA,336667,NA
"163","Mujer","Atacama","Fuerzas Armadas",90795,NA,107100,NA,180720,NA,NA,NA,NA,NA,NA,7e+05
"164","Mujer","Aysén","Fuerzas Armadas",109321,NA,203490,NA,451800,NA,NA,NA,NA,NA,5e+05,850000
"165","Mujer","Bíobío","Fuerzas Armadas",63339,71891,NA,5000,NA,190000,375000,181800,663000,510533,4e+05,160000
"166","Mujer","Coquimbo","Fuerzas Armadas",59571,NA,74970,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Mujer","Los Lagos","Fuerzas Armadas",81791,NA,NA,NA,NA,NA,NA,NA,442000,295380,86000,NA
"168","Mujer","Los Ríos","Fuerzas Armadas",70279,NA,NA,NA,NA,350000,NA,NA,132600,NA,NA,NA
"169","Mujer","Magallanes","Fuerzas Armadas",101456,109446,NA,4e+05,NA,NA,NA,656500,276250,1531600,430000,962500
