"","sexo","oficio","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"156","Hombre","Trabajadores No Calificados","Cordillera",39600,60931,73454,128774,117290,117974,151964,166716,208247,260159,283653,310996
"157","Hombre","Empleados de Oficina","Coyhaique",44816,109941,151680,211267,191757,351185,249155,348396,571350,424942,379737,839042
"158","Hombre","Fuerzas Armadas","Coyhaique",146973,171644,302022,195800,459330,395556,450000,668270,810333,958403,908378,1028000
"159","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Coyhaique",292668,410922,513853,587003,593652,677028,1119171,393285,1164670,1255265,862906,970294
"160","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Coyhaique",120438,89185,136083,205054,196768,131735,251872,307689,361987,440221,364089,398854
"161","Hombre","Profesionales, Científicos e Intelectuales","Coyhaique",110712,457084,266708,251504,3396439,1593727,841952,740085,1439778,1378991,1142802,1257364
"162","Hombre","Técnicos y Profesionales de Nivel Medio","Coyhaique",144629,176247,313362,212548,417650,368726,454929,323921,578094,557536,1104000,635862
"163","Hombre","Trabajadores Agropecuarios y Pesqueros","Coyhaique",40300,151219,135081,210344,165004,127889,179351,292783,293225,486454,262333,337565
"164","Hombre","Trabajadores de Artes Mecánicas y Otros","Coyhaique",54805,108618,135948,200251,194777,153382,217864,297142,329595,391864,318346,420223
"165","Hombre","Trabajadores de Servicios y Vendedores","Coyhaique",66430,95851,149872,203753,276355,288732,305968,222408,458571,444510,485959,489503
"166","Hombre","Empleados de Oficina","Curicó",34864,98639,111340,115652,170085,178577,179434,196555,361385,366637,329788,363753
"167","Hombre","Fuerzas Armadas","Curicó",93478,85840,173307,145000,228006,196667,NA,179051,154574,714613,NA,NA
"168","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Curicó",1185276,561133,656386,657138,365386,1527662,798247,857373,1088272,733201,815754,704745
"169","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Curicó",69057,153850,90283,134074,137129,203674,173966,253544,311292,360171,294433,362538
"170","Hombre","Profesionales, Científicos e Intelectuales","Curicó",151836,216776,232433,368650,726069,636626,486933,853876,807695,902769,883751,732877
"171","Hombre","Técnicos y Profesionales de Nivel Medio","Curicó",147055,148338,182236,223841,319083,354686,264472,396912,554831,574162,488767,543942
"172","Hombre","Trabajadores Agropecuarios y Pesqueros","Curicó",32234,212630,86193,149278,202106,150783,141174,200457,266124,240048,215301,280583
"173","Hombre","Trabajadores de Artes Mecánicas y Otros","Curicó",56372,94812,92218,133938,146590,160431,188425,221577,291517,313187,324643,295982
"174","Hombre","Trabajadores de Servicios y Vendedores","Curicó",46870,100903,97192,134810,156937,245825,168343,225499,294762,330749,294690,373971
"175","Hombre","Empleados de Oficina","El Loa",43871,159100,194263,174000,219602,337900,313528,256369,398491,466766,412491,634969
"176","Hombre","Fuerzas Armadas","El Loa",218605,193140,NA,NA,130520,NA,NA,575188,718250,545177,NA,560000
"177","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","El Loa",755160,210410,225306,485204,465173,372981,682928,861958,1164052,1588099,460714,1068750
"178","Hombre","Profesionales, Científicos e Intelectuales","El Loa",80408,364207,534576,616968,863668,591161,812698,778957,1023535,1085209,837983,1286139
"179","Hombre","Técnicos y Profesionales de Nivel Medio","El Loa",154533,268718,434362,379096,383866,353977,607994,435201,671731,667884,656818,913756
"180","Hombre","Trabajadores Agropecuarios y Pesqueros","El Loa",67629,107789,51591,127226,142445,73103,213539,174514,445409,205527,220000,273571
"181","Hombre","Trabajadores de Artes Mecánicas y Otros","El Loa",93432,141104,150139,247741,228137,258490,287653,387420,428975,534756,604267,542737
"182","Hombre","Trabajadores de Servicios y Vendedores","El Loa",111275,93066,155585,146758,219991,234950,223497,338575,368571,444552,340776,472716
"183","Hombre","Empleados de Oficina","Elqui",44097,108151,118458,177720,235400,173891,234841,186550,452472,421435,424816,477230
"184","Hombre","Fuerzas Armadas","Elqui",133289,53650,131733,NA,171684,4e+05,470000,NA,NA,NA,302167,6e+05
"185","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Elqui",615744,269056,521321,714049,584804,674887,1042623,983201,755760,1048413,850837,1016628
"186","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Elqui",257707,121818,135016,162672,200099,190308,228769,264311,388985,454064,435386,437351
"187","Hombre","Profesionales, Científicos e Intelectuales","Elqui",115949,243883,387406,610682,662181,384790,650515,810863,833641,904475,914931,1100617
"188","Hombre","Técnicos y Profesionales de Nivel Medio","Elqui",144353,164894,192420,277957,291056,339157,579132,535982,486482,524326,684833,672794
"189","Hombre","Trabajadores Agropecuarios y Pesqueros","Elqui",47042,76257,72217,159050,143747,129871,159985,181942,274876,296765,246137,231283
"190","Hombre","Trabajadores de Artes Mecánicas y Otros","Elqui",60393,82140,130058,151656,163742,168433,183431,278708,377863,415498,379709,437079
"191","Hombre","Trabajadores de Servicios y Vendedores","Elqui",70060,126921,111491,203514,147486,184389,208703,193389,388698,311467,357391,369839
"192","Hombre","Trabajadores No Calificados","Elqui",60720,53995,72989,98491,97545,101816,112990,141018,231770,260677,251594,297841
"193","Hombre","Empleados de Oficina","Huasco",33827,171928,214578,233840,199322,294154,189483,266992,337527,364955,360882,578889
"194","Hombre","Fuerzas Armadas","Huasco",197529,429200,107100,186000,321280,246200,247500,323200,NA,NA,NA,NA
"195","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Huasco",523520,260508,262312,624796,371136,338737,583700,605217,563503,764976,699963,966375
"196","Hombre","Profesionales, Científicos e Intelectuales","Huasco",155018,347162,467586,430500,437976,495268,835449,675211,852912,942304,1131189,801429
"197","Hombre","Técnicos y Profesionales de Nivel Medio","Huasco",97924,90847,186869,332333,176705,200224,376613,317342,413461,708074,565217,890625
"198","Hombre","Trabajadores Agropecuarios y Pesqueros","Huasco",39249,73645,68303,287988,140437,135304,223615,257338,232725,324206,246444,262955
"199","Hombre","Trabajadores de Artes Mecánicas y Otros","Huasco",75638,96799,152729,157325,155706,174323,240005,270297,341016,396175,399746,424731
