"","sexo","oficio","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"143","Hombre","Trabajadores No Calificados","Chillán",31408,60088,55858,67000,80571,90000,1e+05,122715,149240,199108,210000,230000
"144","Hombre","Empleados de Oficina","Chimbarongo",30200,91205,101745,155000,126689,2e+05,117500,227250,221000,328200,4e+05,355000
"145","Hombre","Fuerzas Armadas","Chimbarongo",78520,NA,160650,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Chimbarongo",242235,420755,107100,612900,321280,236420,296400,1580800,513500,1160510,3e+05,270000
"147","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Chimbarongo",66742,48017,81702,92000,150600,115000,120000,158080,221000,207860,250000,250000
"148","Hombre","Profesionales, Científicos e Intelectuales","Chimbarongo",48320,97643,160650,2e+05,123492,210000,550000,454500,386750,382900,450000,1850000
"149","Hombre","Técnicos y Profesionales de Nivel Medio","Chimbarongo",69300,91205,289170,81720,140560,120000,200049,303000,442000,NA,4e+05,450000
"150","Hombre","Trabajadores Agropecuarios y Pesqueros","Chimbarongo",31408,58710,58106,96000,120480,120000,135000,131300,254150,196920,210000,240000
"151","Hombre","Trabajadores de Artes Mecánicas y Otros","Chimbarongo",36240,64380,74970,91935,155401,146080,154040,109585,246480,328200,210000,242000
"152","Hombre","Trabajadores de Servicios y Vendedores","Chimbarongo",42660,64380,69955,82000,99075,114992,115000,136350,179562,196920,210000,253000
"153","Hombre","Empleados de Oficina","Chonchi",31408,68495,74970,NA,NA,170000,2e+05,202000,563550,218800,230000,278409
"154","Hombre","Fuerzas Armadas","Chonchi",84560,NA,NA,NA,NA,NA,230000,NA,NA,NA,75000,750000
"155","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Chonchi",396000,NA,105910,NA,NA,349679,592800,217360,410800,369720,250000,2e+05
"156","Hombre","Profesionales, Científicos e Intelectuales","Chonchi",33001,NA,NA,NA,NA,3195500,575000,606000,NA,427754,6e+05,718184
"157","Hombre","Técnicos y Profesionales de Nivel Medio","Chonchi",47520,166315,NA,NA,NA,380000,291393,266785,406315,251620,402000,NA
"158","Hombre","Trabajadores Agropecuarios y Pesqueros","Chonchi",33824,76323,44760,NA,NA,91300,118560,138370,191718,175150,155000,237500
"159","Hombre","Trabajadores de Artes Mecánicas y Otros","Chonchi",32616,40774,60520,NA,NA,109560,140000,171700,209950,210595,210000,242000
"160","Hombre","Trabajadores de Servicios y Vendedores","Chonchi",69102,42920,NA,NA,NA,255000,150000,197600,265200,421190,270000,288524
"161","Hombre","Fuerzas Armadas","Coihueco",79456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Hombre","Profesionales, Científicos e Intelectuales","Coihueco",33001,107300,182359,210000,50200,338000,396400,NA,718250,426660,1e+07,851000
"163","Hombre","Técnicos y Profesionales de Nivel Medio","Coihueco",34650,195700,113526,129500,266450,NA,2e+05,99900,243100,294286,9e+05,415000
"164","Hombre","Trabajadores Agropecuarios y Pesqueros","Coihueco",25972,40774,39035,122580,58650,90000,102364,111854,281125,147690,210000,2e+05
"165","Hombre","Trabajadores de Artes Mecánicas y Otros","Coihueco",27836,52317,53550,51075,105302,110000,123867,158080,182325,229193,220000,3e+05
"166","Hombre","Trabajadores de Servicios y Vendedores","Coihueco",36240,64581,80325,1e+05,111394,105000,110000,136350,221000,202254,225000,230000
"167","Hombre","Empleados de Oficina","Colina",36240,123395,128520,130000,160640,150000,150000,264570,331500,257090,250000,350000
