"","sex","geography_name","geography_id","year","lb_weighted_median"
"308","Hombre",NA,NA,2012,150829
"309","Mujer","Antofagasta","p21",2010,221146
"310","Mujer","Antofagasta","p21",2011,229899
"311","Mujer","Antofagasta","p21",2012,250532
"312","Mujer","Antofagasta","p21",2013,280000
"313","Mujer","Antofagasta","p21",2014,300000
"314","Mujer","Antofagasta","p21",2015,347375
"315","Mujer","Arauco","p82",2010,132375
"316","Mujer","Arauco","p82",2011,120202
"317","Mujer","Arauco","p82",2012,150759
"318","Mujer","Arauco","p82",2013,170020
"319","Mujer","Arauco","p82",2014,191441
"320","Mujer","Arauco","p82",2015,190395
"321","Mujer","Arica","p151",2010,156435
"322","Mujer","Arica","p151",2011,150725
"323","Mujer","Arica","p151",2012,176665
"324","Mujer","Arica","p151",2013,199245
"325","Mujer","Arica","p151",2014,212189
"326","Mujer","Arica","p151",2015,222406
"327","Mujer","Aysén","p112",2010,201435
"328","Mujer","Aysén","p112",2011,228766
"329","Mujer","Aysén","p112",2012,203488
"330","Mujer","Aysén","p112",2013,254221
"331","Mujer","Aysén","p112",2014,229642
"332","Mujer","Aysén","p112",2015,280000
"333","Mujer","Bíobío","p83",2010,149946
"334","Mujer","Bíobío","p83",2011,166524
"335","Mujer","Bíobío","p83",2012,178816
"336","Mujer","Bíobío","p83",2013,209207
"337","Mujer","Bíobío","p83",2014,207868
"338","Mujer","Bíobío","p83",2015,230457
"339","Mujer","Cachapoal","p61",2010,179877
"340","Mujer","Cachapoal","p61",2011,190844
"341","Mujer","Cachapoal","p61",2012,200428
"342","Mujer","Cachapoal","p61",2013,209207
"343","Mujer","Cachapoal","p61",2014,243605
"344","Mujer","Cachapoal","p61",2015,241065
"345","Mujer","Capitán Prat","p113",2010,179877
"346","Mujer","Capitán Prat","p113",2011,149662
"347","Mujer","Capitán Prat","p113",2012,193000
"348","Mujer","Capitán Prat","p113",2013,143438
"349","Mujer","Capitán Prat","p113",2014,150000
"350","Mujer","Cardenal Caro","p62",2010,119980
"351","Mujer","Cardenal Caro","p62",2011,130628
"352","Mujer","Cardenal Caro","p62",2012,170767
"353","Mujer","Cardenal Caro","p62",2013,180218
"354","Mujer","Cardenal Caro","p62",2014,175083
"355","Mujer","Cardenal Caro","p62",2015,200054
"356","Mujer","Cauquenes","p72",2010,70069
"357","Mujer","Cauquenes","p72",2011,119616
"358","Mujer","Cauquenes","p72",2012,117031
"359","Mujer","Cauquenes","p72",2013,120000
"360","Mujer","Cauquenes","p72",2014,106393
"361","Mujer","Cauquenes","p72",2015,145519
"362","Mujer","Cautín","p91",2010,118701
"363","Mujer","Cautín","p91",2011,149521
"364","Mujer","Cautín","p91",2012,150431
"365","Mujer","Cautín","p91",2013,183339
"366","Mujer","Cautín","p91",2014,226250
"367","Mujer","Cautín","p91",2015,200815
"368","Mujer","Chacabuco","p133",2010,170889
"369","Mujer","Chacabuco","p133",2011,190918
"370","Mujer","Chacabuco","p133",2012,213534
"371","Mujer","Chacabuco","p133",2013,209207
"372","Mujer","Chacabuco","p133",2014,227375
"373","Mujer","Chacabuco","p133",2015,265775
"374","Mujer","Chañaral","p32",2010,100049
"375","Mujer","Chañaral","p32",2011,128897
"376","Mujer","Chañaral","p32",2012,126814
"377","Mujer","Chañaral","p32",2013,200857
"378","Mujer","Chañaral","p32",2014,217439
"379","Mujer","Chañaral","p32",2015,224536
"380","Mujer","Chiloé","p102",2010,132955
"381","Mujer","Chiloé","p102",2011,179466
"382","Mujer","Chiloé","p102",2012,192850
"383","Mujer","Chiloé","p102",2013,209011
"384","Mujer","Chiloé","p102",2014,200970
"385","Mujer","Chiloé","p102",2015,240065
"386","Mujer","Choapa","p42",2010,150090
"387","Mujer","Choapa","p42",2011,167460
"388","Mujer","Choapa","p42",2012,180003
"389","Mujer","Choapa","p42",2013,150000
"390","Mujer","Choapa","p42",2014,173894
"391","Mujer","Choapa","p42",2015,233133
"392","Mujer","Colchagua","p63",2010,165057
"393","Mujer","Colchagua","p63",2011,181476
"394","Mujer","Colchagua","p63",2012,160000
"395","Mujer","Colchagua","p63",2013,202015
"396","Mujer","Colchagua","p63",2014,215091
"397","Mujer","Colchagua","p63",2015,241000
"398","Mujer","Concepción","p81",2010,169044
"399","Mujer","Concepción","p81",2011,176677
"400","Mujer","Concepción","p81",2012,195414
"401","Mujer","Concepción","p81",2013,210285
"402","Mujer","Concepción","p81",2014,224958
"403","Mujer","Concepción","p81",2015,240469
"404","Mujer","Copiapó","p31",2010,183417
"405","Mujer","Copiapó","p31",2011,200246
"406","Mujer","Copiapó","p31",2012,241268
"407","Mujer","Copiapó","p31",2013,261271
"408","Mujer","Copiapó","p31",2014,264003
"409","Mujer","Copiapó","p31",2015,306399
"410","Mujer","Cordillera","p152",2010,199695
"411","Mujer","Cordillera","p152",2011,200967
"412","Mujer","Cordillera","p152",2012,262343
"413","Mujer","Cordillera","p152",2013,226644
"414","Mujer","Cordillera","p152",2014,251598
"415","Mujer","Cordillera","p152",2015,300766
"416","Mujer","Coyhaique","p111",2010,175171
"417","Mujer","Coyhaique","p111",2011,201436
"418","Mujer","Coyhaique","p111",2012,196493
"419","Mujer","Coyhaique","p111",2013,209584
"420","Mujer","Coyhaique","p111",2014,250000
"421","Mujer","Coyhaique","p111",2015,320005
"422","Mujer","Curicó","p73",2010,162417
"423","Mujer","Curicó","p73",2011,180000
"424","Mujer","Curicó","p73",2012,189519
"425","Mujer","Curicó","p73",2013,209207
"426","Mujer","Curicó","p73",2014,224958
"427","Mujer","Curicó","p73",2015,245868
"428","Mujer","El Loa","p22",2010,183365
"429","Mujer","El Loa","p22",2011,220000
"430","Mujer","El Loa","p22",2012,301516
"431","Mujer","El Loa","p22",2013,321330
"432","Mujer","El Loa","p22",2014,300984
"433","Mujer","El Loa","p22",2015,284006
"434","Mujer","Elqui","p41",2010,177481
"435","Mujer","Elqui","p41",2011,186191
"436","Mujer","Elqui","p41",2012,204344
"437","Mujer","Elqui","p41",2013,212187
"438","Mujer","Elqui","p41",2014,247658
"439","Mujer","Elqui","p41",2015,251019
"440","Mujer","General Carrera","p114",2010,31056
"441","Mujer","General Carrera","p114",2011,79731
"442","Mujer","General Carrera","p114",2012,43371
"443","Mujer","General Carrera","p114",2013,149129
"444","Mujer","General Carrera","p114",2014,101042
"445","Mujer","General Carrera","p114",2015,163794
"446","Mujer","Huasco","p33",2010,134908
"447","Mujer","Huasco","p33",2011,146197
"448","Mujer","Huasco","p33",2012,193000
"449","Mujer","Huasco","p33",2013,179654
"450","Mujer","Huasco","p33",2014,210429
"451","Mujer","Huasco","p33",2015,240008
"452","Mujer","Iquique","p11",2010,178253
"453","Mujer","Iquique","p11",2011,214533
"454","Mujer","Iquique","p11",2012,247053
"455","Mujer","Iquique","p11",2013,269190
"456","Mujer","Iquique","p11",2014,300000
"457","Mujer","Iquique","p11",2015,298730
"458","Mujer","Limarí","p43",2010,163928
"459","Mujer","Limarí","p43",2011,160000
"460","Mujer","Limarí","p43",2012,151843
"461","Mujer","Limarí","p43",2013,199399
"462","Mujer","Limarí","p43",2014,210541
"463","Mujer","Limarí","p43",2015,243940
"464","Mujer","Linares","p74",2010,120117
"465","Mujer","Linares","p74",2011,156807
"466","Mujer","Linares","p74",2012,159608
"467","Mujer","Linares","p74",2013,170000
"468","Mujer","Linares","p74",2014,183122
"469","Mujer","Linares","p74",2015,200724
"470","Mujer","Llanquihue","p101",2010,177990
"471","Mujer","Llanquihue","p101",2011,216242
"472","Mujer","Llanquihue","p101",2012,212000
"473","Mujer","Llanquihue","p101",2013,219169
"474","Mujer","Llanquihue","p101",2014,248284
"475","Mujer","Llanquihue","p101",2015,290864
"476","Mujer","Los Andes","p53",2010,170752
"477","Mujer","Los Andes","p53",2011,182254
"478","Mujer","Los Andes","p53",2012,196170
"479","Mujer","Los Andes","p53",2013,229131
"480","Mujer","Los Andes","p53",2014,232403
"481","Mujer","Los Andes","p53",2015,250057
"482","Mujer","Magallanes","p121",2010,180176
"483","Mujer","Magallanes","p121",2011,243479
"484","Mujer","Magallanes","p121",2012,300000
"485","Mujer","Magallanes","p121",2013,350000
"486","Mujer","Magallanes","p121",2014,302554
"487","Mujer","Magallanes","p121",2015,335420
"488","Mujer","Maipo","p134",2010,179877
"489","Mujer","Maipo","p134",2011,182717
"490","Mujer","Maipo","p134",2012,201124
"491","Mujer","Maipo","p134",2013,235151
"492","Mujer","Maipo","p134",2014,236969
"493","Mujer","Maipo","p134",2015,251019
"494","Mujer","Malleco","p92",2010,100098
"495","Mujer","Malleco","p92",2011,117812
"496","Mujer","Malleco","p92",2012,110432
"497","Mujer","Malleco","p92",2013,112084
"498","Mujer","Malleco","p92",2014,150331
"499","Mujer","Malleco","p92",2015,131251
"500","Mujer","Marga Marga","p58",2010,150694
"501","Mujer","Marga Marga","p58",2011,180870
"502","Mujer","Marga Marga","p58",2012,200428
"503","Mujer","Marga Marga","p58",2013,214188
"504","Mujer","Marga Marga","p58",2014,251232
"505","Mujer","Marga Marga","p58",2015,270305
"506","Mujer","Melipilla","p135",2010,124810
"507","Mujer","Melipilla","p135",2011,104887
"508","Mujer","Melipilla","p135",2012,179447
"509","Mujer","Melipilla","p135",2013,204477
"510","Mujer","Melipilla","p135",2014,200055
"511","Mujer","Melipilla","p135",2015,230000
"512","Mujer","Ñuble","p84",2010,138000
"513","Mujer","Ñuble","p84",2011,145081
"514","Mujer","Ñuble","p84",2012,170000
"515","Mujer","Ñuble","p84",2013,194818
"516","Mujer","Ñuble","p84",2014,202976
"517","Mujer","Ñuble","p84",2015,260366
"518","Mujer","Osorno","p103",2010,130000
"519","Mujer","Osorno","p103",2011,189393
"520","Mujer","Osorno","p103",2012,169810
"521","Mujer","Osorno","p103",2013,180102
"522","Mujer","Osorno","p103",2014,224958
"523","Mujer","Osorno","p103",2015,270138
"524","Mujer","Parinacota","p152",2010,51218
"525","Mujer","Parinacota","p152",2011,28074
"526","Mujer","Parinacota","p152",2012,70393
"527","Mujer","Parinacota","p152",2013,98118
"528","Mujer","Parinacota","p152",2014,68251
"529","Mujer","Parinacota","p152",2015,98397
"530","Mujer","Petorca","p54",2010,130365
"531","Mujer","Petorca","p54",2011,148265
"532","Mujer","Petorca","p54",2012,149639
"533","Mujer","Petorca","p54",2013,162514
"534","Mujer","Petorca","p54",2014,178600
"535","Mujer","Petorca","p54",2015,195110
"536","Mujer","Quillota","p55",2010,164887
"537","Mujer","Quillota","p55",2011,160367
"538","Mujer","Quillota","p55",2012,167522
"539","Mujer","Quillota","p55",2013,199245
"540","Mujer","Quillota","p55",2014,216104
"541","Mujer","Quillota","p55",2015,230199
"542","Mujer","Ranco","p142",2010,59183
"543","Mujer","Ranco","p142",2011,60290
"544","Mujer","Ranco","p142",2012,117874
"545","Mujer","Ranco","p142",2013,99622
