"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"141","comuna","Castro","32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,528962.542014277,603756.078117352,"[249249, 736299]","[95775, 805000]"
"142","comuna","Castro","32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,195079.797491777,179563.438150561,"[126380, 269558]","[87775, 300987]"
"143","comuna","Castro","32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,245874.67169935,231641.925184002,"[202790, 294285]","[199152, 321304]"
"144","comuna","Catemu","33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,451130.665975491,305038.135704299,"[132030, 855837]","[126842, 855837]"
"145","comuna","Catemu","33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,232447.937186456,203981.141015921,"[153699, 323514]","[70188, 401933]"
"146","comuna","Catemu","33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,226282.038470486,215414.902173571,"[57437, 384009]","[8045, 553092]"
"147","comuna","Catemu","33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,275372.797107999,275372.797107999,"[200271, 350474]","[200271, 350474]"
"148","comuna","Catemu","33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,352482.922671805,313439.22656095,"[211036, 525420]","[211036, 525420]"
"149","comuna","Catemu","33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,1524271.57898903,194709.324902346,"[142634, 3275422]","[86729, 4534433]"
"150","comuna","Cauquenes","34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,98607.3465721157,75916.0940294316,"[59765, 138916]","[40121, 118252]"
"151","comuna","Cauquenes","34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,199599.286503418,122416.81475535,"[101967, 320569]","[90435, 199361]"
"152","comuna","Cauquenes","34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,249676.53929291,194386.636416259,"[149504, 352641]","[119602, 290511]"
"153","comuna","Cauquenes","34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,175584.630633487,202470.287227929,"[121649, 232969]","[93550, 225000]"
"154","comuna","Cauquenes","34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,180948.818980497,167920.864252327,"[123484, 243319]","[103933, 252671]"
"155","comuna","Cauquenes","34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,260358.088874141,227979.718426362,"[178108, 362708]","[165000, 280817]"
"156","comuna","Cerrillos","35","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,250000,250000,"[250000, 250000]","[250000, 250000]"
"157","comuna","Cerrillos","35","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,80833.80708736,80833.80708736,"[80834, 80834]","[80834, 80834]"
"158","comuna","Cerro Navia","36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,199863.214460186,199863.214460186,"[199863, 199863]","[199863, 199863]"
"159","comuna","Cerro Navia","36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,185654.658651288,184257.441145482,"[181835, 193566]","[181418, 192862]"
"160","comuna","Cerro Navia","36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,202815.917637537,193000,"[160899, 251405]","[160899, 251405]"
"161","comuna","Cerro Navia","36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,121250.71063104,121250.71063104,"[121251, 121251]","[121251, 121251]"
"162","comuna","Chañaral","39","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,242799.647269371,299794.821690278,"[149989, 299795]","[122916, 299795]"
