"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"126","region","Bíobío",8,"Hombre","Empleados de oficina",2012,373464.626542968,350000,"[316735, 424841]","[284015, 352409]"
"127","region","Bíobío",8,"Hombre","Empleados de oficina",2013,335437.397756679,305413.465883417,"[308821, 378789]","[283653, 348678]"
"128","region","Bíobío",8,"Hombre","Empleados de oficina",2014,374063.690056191,349839.682114163,"[337041, 417224]","[299944, 400000]"
"129","region","Bíobío",8,"Hombre","Empleados de oficina",2015,443433.01495217,382055.249951233,"[398225, 491260]","[350000, 417197]"
"130","region","Coquimbo",4,"Hombre","Empleados de oficina",2010,317473.745315979,250026.951097455,"[261841, 396553]","[220013, 294288]"
"131","region","Coquimbo",4,"Hombre","Empleados de oficina",2011,332107.165427189,259168.93861051,"[276546, 415985]","[200893, 300170]"
"132","region","Coquimbo",4,"Hombre","Empleados de oficina",2012,470307.768959837,360940.167507856,"[403622, 535529]","[348157, 498455]"
"133","region","Coquimbo",4,"Hombre","Empleados de oficina",2013,398719.038389292,299847.095111432,"[332135, 526054]","[287663, 390000]"
"134","region","Coquimbo",4,"Hombre","Empleados de oficina",2014,434380.846433304,400000,"[364316, 483815]","[322188, 497212]"
"135","region","Coquimbo",4,"Hombre","Empleados de oficina",2015,426018.104330925,370408.168878067,"[344558, 527800]","[275000, 485868]"
"136","region","Los Lagos",10,"Hombre","Empleados de oficina",2010,413287.615111763,223355.017819197,"[283030, 558909]","[200090, 340247]"
"137","region","Los Lagos",10,"Hombre","Empleados de oficina",2011,340702.905417747,262721.709292026,"[280305, 388620]","[219297, 331004]"
"138","region","Los Lagos",10,"Hombre","Empleados de oficina",2012,395598.08825579,300000,"[319707, 474003]","[254750, 392751]"
"139","region","Los Lagos",10,"Hombre","Empleados de oficina",2013,489146.412901373,350000,"[385513, 769012]","[304066, 494941]"
"140","region","Los Lagos",10,"Hombre","Empleados de oficina",2014,518955.425962209,479842.51866147,"[440789, 605152]","[353425, 550000]"
"141","region","Los Lagos",10,"Hombre","Empleados de oficina",2015,480652.50367441,398596.650447398,"[404005, 545914]","[300000, 500077]"
"142","region","Los Ríos",14,"Hombre","Empleados de oficina",2010,288937.117885539,251328.071248378,"[209785, 382164]","[211303, 357429]"
"143","region","Los Ríos",14,"Hombre","Empleados de oficina",2011,432984.960109842,414702.595402051,"[351499, 582410]","[279425, 466699]"
"144","region","Los Ríos",14,"Hombre","Empleados de oficina",2012,410792.49946436,399124.736254105,"[347849, 478414]","[351676, 462586]"
"145","region","Los Ríos",14,"Hombre","Empleados de oficina",2013,343654.176307782,300423.436142929,"[285083, 408392]","[279892, 387070]"
"146","region","Los Ríos",14,"Hombre","Empleados de oficina",2014,482323.855992153,417376.765634397,"[396431, 574914]","[302722, 616475]"
"147","region","Los Ríos",14,"Hombre","Empleados de oficina",2015,452266.587597641,398928.492336276,"[361051, 605721]","[349275, 503352]"
"148","region","Magallanes",12,"Hombre","Empleados de oficina",2010,455297.899783222,349859.534448492,"[313507, 570542]","[243878, 400186]"
"149","region","Magallanes",12,"Hombre","Empleados de oficina",2011,935960.565124357,584818.330727922,"[454824, 1592687]","[346134, 936730]"
"150","region","Magallanes",12,"Hombre","Empleados de oficina",2012,837753.0666387,398901.972462539,"[450741, 1350416]","[298934, 696134]"
"151","region","Magallanes",12,"Hombre","Empleados de oficina",2013,631475.207870588,485024.908736411,"[491560, 765468]","[355560, 799296]"
"152","region","Magallanes",12,"Hombre","Empleados de oficina",2014,664231.248574139,484427.988750455,"[497780, 832514]","[402378, 623461]"
"153","region","Magallanes",12,"Hombre","Empleados de oficina",2015,622357.077634812,503067.183729528,"[498667, 775597]","[398601, 799499]"
"154","region","Maule",7,"Hombre","Empleados de oficina",2010,294088.661563952,242466.821415508,"[245625, 340802]","[200029, 253054]"
"155","region","Maule",7,"Hombre","Empleados de oficina",2011,286735.52483198,249696.674602854,"[233424, 367992]","[199893, 294624]"
"156","region","Maule",7,"Hombre","Empleados de oficina",2012,315560.544839404,264000,"[264307, 377502]","[248877, 295962]"
"157","region","Maule",7,"Hombre","Empleados de oficina",2013,321630.133820176,279676.062376477,"[271128, 371106]","[250000, 306906]"
"158","region","Maule",7,"Hombre","Empleados de oficina",2014,357164.29047251,297585.135137414,"[297144, 413581]","[261211, 348049]"
"159","region","Maule",7,"Hombre","Empleados de oficina",2015,481750.542389416,400363.137221767,"[393238, 616511]","[300081, 490133]"
"160","region","Metropolitana",13,"Hombre","Empleados de oficina",2010,346446.730381294,300293.59953024,"[309901, 388274]","[250245, 300294]"
"161","region","Metropolitana",13,"Hombre","Empleados de oficina",2011,422057.89770138,331064.56128374,"[372340, 472759]","[299395, 348881]"
"162","region","Metropolitana",13,"Hombre","Empleados de oficina",2012,397292.497812226,350000,"[373794, 423460]","[316421, 380765]"
"163","region","Metropolitana",13,"Hombre","Empleados de oficina",2013,462290.458170453,389950.454977354,"[426714, 508829]","[350000, 400798]"
