"","sex","work_day","geography_name","geography_id","year","weighted_median"
"287","Hombre","Completa","Tocopilla","p23",2015,411590.430654139
"288","Hombre","Completa","Última Esperanza","p124",2010,305711.30135623
"289","Hombre","Completa","Última Esperanza","p124",2011,264616.733721195
"290","Hombre","Completa","Última Esperanza","p124",2012,344247.608226406
"291","Hombre","Completa","Última Esperanza","p124",2013,338820.206358684
"292","Hombre","Completa","Última Esperanza","p124",2014,425685.685341298
"293","Hombre","Completa","Última Esperanza","p124",2015,501798.35114454
"294","Hombre","Completa","Valdivia","p141",2010,235821.882121692
"295","Hombre","Completa","Valdivia","p141",2011,250000.036105689
"296","Hombre","Completa","Valdivia","p141",2012,290063.884709127
"297","Hombre","Completa","Valdivia","p141",2013,312119.968585109
"298","Hombre","Completa","Valdivia","p141",2014,349832.367525066
"299","Hombre","Completa","Valdivia","p141",2015,400000
"300","Hombre","Completa","Valparaíso","p51",2010,250244.6662752
"301","Hombre","Completa","Valparaíso","p51",2011,314476.414222792
"302","Hombre","Completa","Valparaíso","p51",2012,316720.599873456
"303","Hombre","Completa","Valparaíso","p51",2013,401147.878736763
"304","Hombre","Completa","Valparaíso","p51",2014,468547.113067736
"305","Hombre","Completa","Valparaíso","p51",2015,404562.325646563
"306","Hombre","Completa",NA,NA,2010,179876.893014167
"307","Hombre","Completa",NA,NA,2011,222397.097464637
"308","Hombre","Completa",NA,NA,2012,242762.842507926
"309","Hombre","Parcial","Antofagasta","p21",2010,250000.059283377
"310","Hombre","Parcial","Antofagasta","p21",2011,272856.179200877
"311","Hombre","Parcial","Antofagasta","p21",2012,200478.511609762
"312","Hombre","Parcial","Antofagasta","p21",2013,199542.591750797
"313","Hombre","Parcial","Antofagasta","p21",2014,189489.430487381
"314","Hombre","Parcial","Antofagasta","p21",2015,240000
"315","Hombre","Parcial","Arauco","p82",2010,60087.0149487457
"316","Hombre","Parcial","Arauco","p82",2011,58095.8052918958
"317","Hombre","Parcial","Arauco","p82",2012,66950.9637509393
"318","Hombre","Parcial","Arauco","p82",2013,90008.2440601397
"319","Hombre","Parcial","Arauco","p82",2014,79003.2583550184
"320","Hombre","Parcial","Arauco","p82",2015,100000
"321","Hombre","Parcial","Arica","p151",2010,120117.439812096
"322","Hombre","Parcial","Arica","p151",2011,119887.687967397
"323","Hombre","Parcial","Arica","p151",2012,120000
"324","Hombre","Parcial","Arica","p151",2013,129774.263951518
"325","Hombre","Parcial","Arica","p151",2014,150095.249580036
"326","Hombre","Parcial","Arica","p151",2015,200000
"327","Hombre","Parcial","Aysén","p112",2010,180176.159718144
"328","Hombre","Parcial","Aysén","p112",2011,209780.958202238
"329","Hombre","Parcial","Aysén","p112",2012,216669.888162602
"330","Hombre","Parcial","Aysén","p112",2013,200228.058643859
"331","Hombre","Parcial","Aysén","p112",2014,210671.035168952
"332","Hombre","Parcial","Aysén","p112",2015,211546.761447787
"333","Hombre","Parcial","Bíobío","p83",2010,89652.9818840342
"334","Hombre","Parcial","Bíobío","p83",2011,67784.5204792734
"335","Hombre","Parcial","Bíobío","p83",2012,120674.530040545
"336","Hombre","Parcial","Bíobío","p83",2013,100135.562584727
"337","Hombre","Parcial","Bíobío","p83",2014,79985.9276461383
"338","Hombre","Parcial","Bíobío","p83",2015,130035.179505683
"339","Hombre","Parcial","Cachapoal","p61",2010,119917.928676111
"340","Hombre","Parcial","Cachapoal","p61",2011,128005.195357268
"341","Hombre","Parcial","Cachapoal","p61",2012,170430.836861424
"342","Hombre","Parcial","Cachapoal","p61",2013,183552.445758617
"343","Hombre","Parcial","Cachapoal","p61",2014,195125.660529945
"344","Hombre","Parcial","Cachapoal","p61",2015,246041.145071709
"345","Hombre","Parcial","Capitán Prat","p113",2010,1269131.41182218
"346","Hombre","Parcial","Capitán Prat","p113",2011,222320.86721309
"347","Hombre","Parcial","Capitán Prat","p113",2014,100000
"348","Hombre","Parcial","Cardenal Caro","p62",2010,79984.230528257
"349","Hombre","Parcial","Cardenal Caro","p62",2011,130104.874822941
"350","Hombre","Parcial","Cardenal Caro","p62",2012,106913.963769961
"351","Hombre","Parcial","Cardenal Caro","p62",2013,193354.791982651
"352","Hombre","Parcial","Cardenal Caro","p62",2014,97792.668757314
"353","Hombre","Parcial","Cardenal Caro","p62",2015,200792.416567026
"354","Hombre","Parcial","Cauquenes","p72",2010,80019.4256427214
"355","Hombre","Parcial","Cauquenes","p72",2011,108234.854494568
"356","Hombre","Parcial","Cauquenes","p72",2012,122420.948041056
"357","Hombre","Parcial","Cauquenes","p72",2013,82749.9678637778
"358","Hombre","Parcial","Cauquenes","p72",2014,135655.421871522
"359","Hombre","Parcial","Cauquenes","p72",2015,116677.013728538
"360","Hombre","Parcial","Cautín","p91",2010,73855.0483237775
"361","Hombre","Parcial","Cautín","p91",2011,76266.3478181443
"362","Hombre","Parcial","Cautín","p91",2012,80190.0256014856
"363","Hombre","Parcial","Cautín","p91",2013,100038.759552635
"364","Hombre","Parcial","Cautín","p91",2014,150000
"365","Hombre","Parcial","Cautín","p91",2015,100364.347730079
"366","Hombre","Parcial","Chacabuco","p133",2010,136169.330057145
"367","Hombre","Parcial","Chacabuco","p133",2011,97636.514496115
"368","Hombre","Parcial","Chacabuco","p133",2012,144802.671538978
"369","Hombre","Parcial","Chacabuco","p133",2013,153704.860919361
"370","Hombre","Parcial","Chacabuco","p133",2014,129511.886936276
"371","Hombre","Parcial","Chacabuco","p133",2015,104873.457810533
"372","Hombre","Parcial","Chañaral","p32",2010,20000
"373","Hombre","Parcial","Chañaral","p32",2011,72000
"374","Hombre","Parcial","Chañaral","p32",2012,266195.231958763
"375","Hombre","Parcial","Chañaral","p32",2014,280767.157656655
"376","Hombre","Parcial","Chañaral","p32",2015,179700.421806765
"377","Hombre","Parcial","Chiloé","p102",2010,70067.056479764
"378","Hombre","Parcial","Chiloé","p102",2011,100000
"379","Hombre","Parcial","Chiloé","p102",2012,100451.030927835
"380","Hombre","Parcial","Chiloé","p102",2013,119673.675416828
"381","Hombre","Parcial","Chiloé","p102",2014,151563.3882888
"382","Hombre","Parcial","Chiloé","p102",2015,200000
"383","Hombre","Parcial","Choapa","p42",2010,110375.280820637
"384","Hombre","Parcial","Choapa","p42",2011,86768.3621308596
"385","Hombre","Parcial","Choapa","p42",2012,90405.9278350515
"386","Hombre","Parcial","Choapa","p42",2013,80000
"387","Hombre","Parcial","Choapa","p42",2014,119608.7000067
"388","Hombre","Parcial","Choapa","p42",2015,144518.278353141
"389","Hombre","Parcial","Colchagua","p63",2010,119199.843543281
"390","Hombre","Parcial","Colchagua","p63",2011,85642.1218415907
"391","Hombre","Parcial","Colchagua","p63",2012,127081.7796559
"392","Hombre","Parcial","Colchagua","p63",2013,177145.65496274
"393","Hombre","Parcial","Colchagua","p63",2014,119289.402421783
"394","Hombre","Parcial","Colchagua","p63",2015,83588.8344904975
"395","Hombre","Parcial","Concepción","p81",2010,109423.0344783
"396","Hombre","Parcial","Concepción","p81",2011,80386.6565579984
"397","Hombre","Parcial","Concepción","p81",2012,86839.1939904702
"398","Hombre","Parcial","Concepción","p81",2013,104663.758862858
"399","Hombre","Parcial","Concepción","p81",2014,121250.71063104
"400","Hombre","Parcial","Concepción","p81",2015,100006.868354285
"401","Hombre","Parcial","Copiapó","p31",2010,125774.791025429
"402","Hombre","Parcial","Copiapó","p31",2011,120190.192882417
"403","Hombre","Parcial","Copiapó","p31",2012,109408.190378984
"404","Hombre","Parcial","Copiapó","p31",2013,199619.959548422
"405","Hombre","Parcial","Copiapó","p31",2014,120000
"406","Hombre","Parcial","Copiapó","p31",2015,133641.49890417
"407","Hombre","Parcial","Cordillera","p152",2010,149897.410845139
"408","Hombre","Parcial","Cordillera","p152",2011,191399.414747054
"409","Hombre","Parcial","Cordillera","p152",2012,200262.205254067
"410","Hombre","Parcial","Cordillera","p152",2013,161991.531105969
"411","Hombre","Parcial","Cordillera","p152",2014,123871.333432462
"412","Hombre","Parcial","Cordillera","p152",2015,137830.827958035
"413","Hombre","Parcial","Coyhaique","p111",2010,277411.743566226
"414","Hombre","Parcial","Coyhaique","p111",2011,250428.228670393
"415","Hombre","Parcial","Coyhaique","p111",2012,258676.056733812
"416","Hombre","Parcial","Coyhaique","p111",2013,250338.906461818
"417","Hombre","Parcial","Coyhaique","p111",2014,299971.072227411
"418","Hombre","Parcial","Coyhaique","p111",2015,301030.997494191
"419","Hombre","Parcial","Curicó","p73",2010,107818.939624405
"420","Hombre","Parcial","Curicó","p73",2011,123120.551406427
"421","Hombre","Parcial","Curicó","p73",2012,118181.164272943
"422","Hombre","Parcial","Curicó","p73",2013,197047.134279899
"423","Hombre","Parcial","Curicó","p73",2014,186198.329429451
"424","Hombre","Parcial","Curicó","p73",2015,200802.645835786
"425","Hombre","Parcial","El Loa","p22",2010,80034.1524471824
"426","Hombre","Parcial","El Loa","p22",2011,149520.541506064
"427","Hombre","Parcial","El Loa","p22",2012,246074.940871952
"428","Hombre","Parcial","El Loa","p22",2013,391937.103601232
"429","Hombre","Parcial","El Loa","p22",2014,301458.152773937
"430","Hombre","Parcial","El Loa","p22",2015,300081.183474654
"431","Hombre","Parcial","Elqui","p41",2010,114482.254419526
"432","Hombre","Parcial","Elqui","p41",2011,100000
"433","Hombre","Parcial","Elqui","p41",2012,201019.755566144
"434","Hombre","Parcial","Elqui","p41",2013,120107.701027406
"435","Hombre","Parcial","Elqui","p41",2014,199962.497656104
"436","Hombre","Parcial","Elqui","p41",2015,200000
"437","Hombre","Parcial","General Carrera","p114",2010,165799.826000929
"438","Hombre","Parcial","General Carrera","p114",2011,285893.661937994
"439","Hombre","Parcial","General Carrera","p114",2012,417332.749723552
"440","Hombre","Parcial","General Carrera","p114",2013,375508.359692726
"441","Hombre","Parcial","General Carrera","p114",2014,217460.773283954
"442","Hombre","Parcial","General Carrera","p114",2015,299636.827758887
"443","Hombre","Parcial","Huasco","p33",2010,211388.446430068
"444","Hombre","Parcial","Huasco","p33",2011,86034.6843722014
"445","Hombre","Parcial","Huasco","p33",2012,199961.244622448
"446","Hombre","Parcial","Huasco","p33",2013,121640.647899434
"447","Hombre","Parcial","Huasco","p33",2014,173718.029556807
"448","Hombre","Parcial","Huasco","p33",2015,100248.371031613
"449","Hombre","Parcial","Iquique","p11",2010,199863.214460186
"450","Hombre","Parcial","Iquique","p11",2011,199360.722008085
"451","Hombre","Parcial","Iquique","p11",2012,208554.601808213
