"","sex","company_size","geography_name","geography_id","year","weighted_mean"
"1010","Hombre","Entre 50 y 199","Cordillera","p152",2015,621701.053767654
"1011","Hombre","Entre 50 y 199","Coyhaique","p111",2010,411134.365770395
"1012","Hombre","Entre 50 y 199","Coyhaique","p111",2011,421231.868585934
"1013","Hombre","Entre 50 y 199","Coyhaique","p111",2012,447355.35914679
"1014","Hombre","Entre 50 y 199","Coyhaique","p111",2013,597746.297128602
"1015","Hombre","Entre 50 y 199","Coyhaique","p111",2014,420230.412487984
"1016","Hombre","Entre 50 y 199","Coyhaique","p111",2015,796944.409520083
"1017","Hombre","Entre 50 y 199","Curicó","p73",2010,251897.711612844
"1018","Hombre","Entre 50 y 199","Curicó","p73",2011,256316.871435402
"1019","Hombre","Entre 50 y 199","Curicó","p73",2012,316706.226217274
"1020","Hombre","Entre 50 y 199","Curicó","p73",2013,338956.881864789
"1021","Hombre","Entre 50 y 199","Curicó","p73",2014,404074.246279244
"1022","Hombre","Entre 50 y 199","Curicó","p73",2015,455425.261843464
"1023","Hombre","Entre 50 y 199","El Loa","p22",2010,555640.081378486
"1024","Hombre","Entre 50 y 199","El Loa","p22",2011,1162204.92359863
"1025","Hombre","Entre 50 y 199","El Loa","p22",2012,779900.350475838
"1026","Hombre","Entre 50 y 199","El Loa","p22",2013,802512.308322364
"1027","Hombre","Entre 50 y 199","El Loa","p22",2014,628104.467801723
"1028","Hombre","Entre 50 y 199","El Loa","p22",2015,587328.136031956
"1029","Hombre","Entre 50 y 199","Elqui","p41",2010,257958.157221382
"1030","Hombre","Entre 50 y 199","Elqui","p41",2011,361025.151629141
"1031","Hombre","Entre 50 y 199","Elqui","p41",2012,521612.860291436
"1032","Hombre","Entre 50 y 199","Elqui","p41",2013,479546.498172108
"1033","Hombre","Entre 50 y 199","Elqui","p41",2014,470509.941667124
"1034","Hombre","Entre 50 y 199","Elqui","p41",2015,551244.058992662
"1035","Hombre","Entre 50 y 199","General Carrera","p114",2010,180176.159718144
"1036","Hombre","Entre 50 y 199","General Carrera","p114",2013,249055.92519331
"1037","Hombre","Entre 50 y 199","General Carrera","p114",2014,605792.901957182
"1038","Hombre","Entre 50 y 199","General Carrera","p114",2015,373259.044882712
"1039","Hombre","Entre 50 y 199","Huasco","p33",2010,282618.376217651
"1040","Hombre","Entre 50 y 199","Huasco","p33",2011,417331.023060069
"1041","Hombre","Entre 50 y 199","Huasco","p33",2012,468365.115101258
"1042","Hombre","Entre 50 y 199","Huasco","p33",2013,353984.82377665
"1043","Hombre","Entre 50 y 199","Huasco","p33",2014,474753.162096704
"1044","Hombre","Entre 50 y 199","Huasco","p33",2015,440571.997994782
"1045","Hombre","Entre 50 y 199","Iquique","p11",2010,633286.799880689
"1046","Hombre","Entre 50 y 199","Iquique","p11",2011,448020.456647339
