"","geography_level","geography_name","geography_id","sex","isco","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"111","provincia","Curicó","p73","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,291802.948042153,219236.729012883,"[230194, 385453]","[169852, 296654]"
"112","provincia","Curicó","p73","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,264225.92905693,229023.150608402,"[202672, 363305]","[212876, 296439]"
"113","provincia","Curicó","p73","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,406061.700956021,296316.254393425,"[226109, 601623]","[166395, 418856]"
"114","provincia","Curicó","p73","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,360183.53124961,240642.948529042,"[248304, 493463]","[195309, 308333]"
"115","provincia","El Loa","p22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,345072.199089473,406459.561232627,"[215016, 446699]","[220000, 527386]"
"116","provincia","El Loa","p22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,221575.437604266,254739.45842459,"[105000, 312088]","[105000, 320000]"
"117","provincia","El Loa","p22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,220000,220000,"[220000, 220000]","[220000, 220000]"
"118","provincia","El Loa","p22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,433125.93652552,429429.6001516,"[287441, 604762]","[170712, 702932]"
"119","provincia","El Loa","p22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,340934.334134828,340934.334134828,"[200815, 622526]","[200815, 622526]"
"120","provincia","Elqui","p41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,179378.436978803,152997.440463987,"[134493, 244783]","[110108, 170166]"
"121","provincia","Elqui","p41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,213862.731433136,180623.392320997,"[166425, 340201]","[120580, 249201]"
"122","provincia","Elqui","p41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,188741.217073616,161334.575372084,"[147365, 279950]","[109391, 217244]"
"123","provincia","Elqui","p41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,351166.041371308,200000,"[194369, 746588]","[163793, 226029]"
"124","provincia","Elqui","p41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,347571.528455371,259162.111054985,"[260300, 550770]","[187500, 432336]"
