"","sex","work_day","geography_name","geography_id","year","weighted_mean"
"269","Mujer","Completa","Tarapacá","1",2014,482251.614176506
"270","Mujer","Completa","Tarapacá","1",2015,519929.402315258
"271","Mujer","Completa","Valparaíso","5",2010,282298.389268523
"272","Mujer","Completa","Valparaíso","5",2011,294345.977566324
"273","Mujer","Completa","Valparaíso","5",2012,361919.655584947
"274","Mujer","Completa","Valparaíso","5",2013,409144.090305491
"275","Mujer","Completa","Valparaíso","5",2014,484296.597219688
"276","Mujer","Completa","Valparaíso","5",2015,447998.874147467
"277","Mujer","Completa",NA,NA,2010,200673.93107054
"278","Mujer","Completa",NA,NA,2011,144956.807228411
"279","Mujer","Completa",NA,NA,2012,283908.841885841
"280","Mujer","Parcial","Antofagasta","2",2010,101932.686553426
"281","Mujer","Parcial","Antofagasta","2",2011,225718.846426953
"282","Mujer","Parcial","Antofagasta","2",2012,143721.2031806
"283","Mujer","Parcial","Antofagasta","2",2013,175501.35682116
"284","Mujer","Parcial","Antofagasta","2",2014,230461.910901728
"285","Mujer","Parcial","Antofagasta","2",2015,218772.431523808
"286","Mujer","Parcial","Araucanía","9",2010,80706.7223331592
"287","Mujer","Parcial","Araucanía","9",2011,72569.5926664036
"288","Mujer","Parcial","Araucanía","9",2012,93954.7257009146
"289","Mujer","Parcial","Araucanía","9",2013,122330.442715257
"290","Mujer","Parcial","Araucanía","9",2014,135443.274474962
"291","Mujer","Parcial","Araucanía","9",2015,112930.490598485
"292","Mujer","Parcial","Arica y Parinacota","15",2010,113809.388724441
"293","Mujer","Parcial","Arica y Parinacota","15",2011,96449.7753215306
"294","Mujer","Parcial","Arica y Parinacota","15",2012,126354.858200749
"295","Mujer","Parcial","Arica y Parinacota","15",2013,116179.944291409
"296","Mujer","Parcial","Arica y Parinacota","15",2014,145177.411557631
"297","Mujer","Parcial","Arica y Parinacota","15",2015,141563.379874848
"298","Mujer","Parcial","Atacama","3",2010,135823.926739578
"299","Mujer","Parcial","Atacama","3",2011,127624.620159725
"300","Mujer","Parcial","Atacama","3",2012,120690.027258113
"301","Mujer","Parcial","Atacama","3",2013,138077.339176971
"302","Mujer","Parcial","Atacama","3",2014,154555.396907533
"303","Mujer","Parcial","Atacama","3",2015,135415.516581729
"304","Mujer","Parcial","Aysén","11",2010,159331.294885738
"305","Mujer","Parcial","Aysén","11",2011,180873.579238466
"306","Mujer","Parcial","Aysén","11",2012,133183.264061907
"307","Mujer","Parcial","Aysén","11",2013,192026.05901842
"308","Mujer","Parcial","Aysén","11",2014,184666.821483039
"309","Mujer","Parcial","Aysén","11",2015,230875.416886347
"310","Mujer","Parcial","Bíobío","8",2010,114565.494497534
"311","Mujer","Parcial","Bíobío","8",2011,99691.7312390683
"312","Mujer","Parcial","Bíobío","8",2012,121804.163643701
"313","Mujer","Parcial","Bíobío","8",2013,126959.606394076
"314","Mujer","Parcial","Bíobío","8",2014,152096.488476409
"315","Mujer","Parcial","Bíobío","8",2015,154705.771711581
"316","Mujer","Parcial","Coquimbo","4",2010,101640.387129902
"317","Mujer","Parcial","Coquimbo","4",2011,97639.7223792898
"318","Mujer","Parcial","Coquimbo","4",2012,143255.733272808
"319","Mujer","Parcial","Coquimbo","4",2013,181151.176840355
"320","Mujer","Parcial","Coquimbo","4",2014,181966.165823975
"321","Mujer","Parcial","Coquimbo","4",2015,177351.236286413
"322","Mujer","Parcial","Los Lagos","10",2010,94781.7356950789
"323","Mujer","Parcial","Los Lagos","10",2011,109484.344650959
"324","Mujer","Parcial","Los Lagos","10",2012,119738.19167543
"325","Mujer","Parcial","Los Lagos","10",2013,123512.72322987
"326","Mujer","Parcial","Los Lagos","10",2014,161661.289688754
"327","Mujer","Parcial","Los Lagos","10",2015,122130.062226481
"328","Mujer","Parcial","Los Ríos","14",2010,80786.1098186609
"329","Mujer","Parcial","Los Ríos","14",2011,82679.2142007551
"330","Mujer","Parcial","Los Ríos","14",2012,127135.732189868
"331","Mujer","Parcial","Los Ríos","14",2013,155123.922834004
"332","Mujer","Parcial","Los Ríos","14",2014,129998.733359845
"333","Mujer","Parcial","Los Ríos","14",2015,170818.237250452
"334","Mujer","Parcial","Magallanes","12",2010,213043.389796704
"335","Mujer","Parcial","Magallanes","12",2011,211821.056396772
"336","Mujer","Parcial","Magallanes","12",2012,193806.781826901
"337","Mujer","Parcial","Magallanes","12",2013,206031.255410286
"338","Mujer","Parcial","Magallanes","12",2014,208443.008632933
"339","Mujer","Parcial","Magallanes","12",2015,290981.752938675
"340","Mujer","Parcial","Maule","7",2010,114436.939704842
"341","Mujer","Parcial","Maule","7",2011,99082.9091218057
"342","Mujer","Parcial","Maule","7",2012,92802.2409898028
"343","Mujer","Parcial","Maule","7",2013,135558.01575055
"344","Mujer","Parcial","Maule","7",2014,96508.8520531265
"345","Mujer","Parcial","Maule","7",2015,168773.388900563
"346","Mujer","Parcial","Metropolitana","13",2010,159604.401294527
"347","Mujer","Parcial","Metropolitana","13",2011,174608.29183001
"348","Mujer","Parcial","Metropolitana","13",2012,170966.649723845
"349","Mujer","Parcial","Metropolitana","13",2013,172743.783505954
"350","Mujer","Parcial","Metropolitana","13",2014,201687.097860682
"351","Mujer","Parcial","Metropolitana","13",2015,198957.448771571
"352","Mujer","Parcial","O'Higgins","6",2010,118483.529227733
