"","geography_level","geography_name","geography_id","sex","icse","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"164","region","Metropolitana","13","Hombre","Asalariado Sector Público",2014,826776.805223895,599941.629280259,"[746134, 906558]","[516044, 699869]"
"165","region","Metropolitana","13","Hombre","Asalariado Sector Público",2015,1026341.71586187,702852.227453824,"[920321, 1176351]","[636194, 855068]"
"166","region","O'Higgins","6","Hombre","Asalariado Sector Público",2010,636454.906700483,600653.733853461,"[543764, 732747]","[424000, 700000]"
"167","region","O'Higgins","6","Hombre","Asalariado Sector Público",2011,627575.479810031,500288.027299103,"[526453, 728348]","[432000, 628381]"
"168","region","O'Higgins","6","Hombre","Asalariado Sector Público",2012,706175.963930264,551835.325203286,"[568480, 848701]","[399705, 771417]"
"169","region","O'Higgins","6","Hombre","Asalariado Sector Público",2013,740698.344534849,547923.035425283,"[607425, 898449]","[428069, 735294]"
"170","region","O'Higgins","6","Hombre","Asalariado Sector Público",2014,694957.753783462,498477.904135675,"[532942, 856961]","[390000, 500000]"
"171","region","O'Higgins","6","Hombre","Asalariado Sector Público",2015,834399.765803659,600162.366949308,"[696970, 1019185]","[515693, 751048]"
"172","region","Tarapacá","1","Hombre","Asalariado Sector Público",2010,592798.229567865,501318.06774582,"[499652, 705190]","[389471, 588123]"
"173","region","Tarapacá","1","Hombre","Asalariado Sector Público",2011,693324.618040412,604347.451109484,"[569874, 859105]","[418046, 700000]"
"174","region","Tarapacá","1","Hombre","Asalariado Sector Público",2012,717500.39669776,545832.342406749,"[594042, 836002]","[402248, 785192]"
"175","region","Tarapacá","1","Hombre","Asalariado Sector Público",2013,971194.548756495,697356.590541269,"[783111, 1157022]","[519602, 899771]"
"176","region","Tarapacá","1","Hombre","Asalariado Sector Público",2014,787067.895529296,550000,"[647090, 943011]","[450000, 680000]"
"177","region","Tarapacá","1","Hombre","Asalariado Sector Público",2015,1017381.05615612,700000,"[837367, 1203048]","[625457, 802033]"
"178","region","Valparaíso","5","Hombre","Asalariado Sector Público",2010,576825.729841943,449692.232535418,"[500034, 666736]","[379908, 520267]"
"179","region","Valparaíso","5","Hombre","Asalariado Sector Público",2011,713252.685837911,554510.36901615,"[634891, 822530]","[479662, 599308]"
"180","region","Valparaíso","5","Hombre","Asalariado Sector Público",2012,832643.782738453,673871.43460751,"[741608, 962217]","[571751, 814342]"
"181","region","Valparaíso","5","Hombre","Asalariado Sector Público",2013,907910.004135984,672113.65127592,"[772058, 1024594]","[556007, 799061]"
"182","region","Valparaíso","5","Hombre","Asalariado Sector Público",2014,948006.358361217,701533.916530989,"[838065, 1052633]","[605370, 808338]"
"183","region","Valparaíso","5","Hombre","Asalariado Sector Público",2015,934408.618560979,642063.101029615,"[836361, 1057034]","[600929, 800000]"
"184","region",NA,NA,"Hombre","Asalariado Sector Público",2010,204442.306533653,204442.306533653,"[132129, 508255]","[132129, 508255]"
