"","geography_level","geography_name","geography_id","sex","company_size","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"160","region","Metropolitana","13","Hombre","De 5 a 10 personas",2010,543871.991671836,250244.6662752,"[476382, 649527]","[239836, 299795]"
"161","region","Metropolitana","13","Hombre","De 5 a 10 personas",2011,597115.081878101,300000,"[506999, 718371]","[259574, 336000]"
"162","region","Metropolitana","13","Hombre","De 5 a 10 personas",2012,626917.928314142,340488.604498131,"[501237, 764281]","[301353, 400000]"
"163","region","Metropolitana","13","Hombre","De 5 a 10 personas",2013,605556.853473553,350474.469046545,"[520663, 688708]","[317254, 398489]"
"164","region","Metropolitana","13","Hombre","De 5 a 10 personas",2014,573159.713513665,360000,"[515305, 656398]","[336101, 400000]"
"165","region","Metropolitana","13","Hombre","De 5 a 10 personas",2015,618121.514703491,359191.829196148,"[526096, 819965]","[337344, 412745]"
"166","region","O'Higgins","6","Hombre","De 5 a 10 personas",2010,341170.86624454,200195.73302016,"[280460, 409330]","[193036, 249528]"
"167","region","O'Higgins","6","Hombre","De 5 a 10 personas",2011,285783.182958977,221450.605775292,"[242370, 340180]","[200967, 260245]"
"168","region","O'Higgins","6","Hombre","De 5 a 10 personas",2012,318566.678426168,221236.638407666,"[237729, 503697]","[200000, 261173]"
"169","region","O'Higgins","6","Hombre","De 5 a 10 personas",2013,411316.019301632,281760.599242944,"[298831, 639920]","[239725, 300000]"
"170","region","O'Higgins","6","Hombre","De 5 a 10 personas",2014,390975.129650139,252094.127918179,"[305509, 496771]","[230000, 280000]"
"171","region","O'Higgins","6","Hombre","De 5 a 10 personas",2015,426080.003045267,300081.183474654,"[350707, 581570]","[280000, 367928]"
"172","region","Tarapacá","1","Hombre","De 5 a 10 personas",2010,375468.444682118,210126.144820491,"[244486, 624160]","[185181, 250205]"
"173","region","Tarapacá","1","Hombre","De 5 a 10 personas",2011,421154.481590306,309646.228152106,"[347201, 570830]","[223933, 452042]"
"174","region","Tarapacá","1","Hombre","De 5 a 10 personas",2012,594754.974988615,377865.002966409,"[417468, 801548]","[253661, 454520]"
"175","region","Tarapacá","1","Hombre","De 5 a 10 personas",2013,507719.230499814,392179.499409182,"[395277, 695872]","[299435, 500000]"
"176","region","Tarapacá","1","Hombre","De 5 a 10 personas",2014,899212.347626784,503204.33418541,"[673653, 1257367]","[389522, 726091]"
