"","geography_level","geography_name","geography_id","sex","isic","year","weighted_mean","weighted_median","ci_weighted_mean","ci_weighted_median"
"218","provincia","General Carrera","p114","Hombre","11",2012,724047.180243271,724047.180243271,"[724047, 724047]","[724047, 724047]"
"219","provincia","Huasco","p33","Hombre","11",2010,571101.238662537,409787.387180804,"[261030, 977081]","[230000, 989120]"
"220","provincia","Huasco","p33","Hombre","11",2012,210000,210000,"[210000, 210000]","[210000, 210000]"
"221","provincia","Iquique","p11","Hombre","11",2010,562303.613019435,304154.30140186,"[339232, 988461]","[197152, 583567]"
"222","provincia","Iquique","p11","Hombre","11",2012,603651.078877268,340092.820697698,"[375244, 1013138]","[250444, 502547]"
"223","provincia","Limarí","p43","Hombre","11",2010,329002.32028957,293703.172338399,"[204194, 437868]","[170000, 500489]"
"224","provincia","Limarí","p43","Hombre","11",2012,359219.363529278,392485.654744759,"[168748, 539558]","[100824, 602706]"
"225","provincia","Linares","p74","Hombre","11",2010,226373.626000807,196518.473491927,"[166254, 286904]","[138124, 340077]"
"226","provincia","Linares","p74","Hombre","11",2012,617471.570306116,212571.041176597,"[253443, 1127413]","[201114, 631054]"
"227","provincia","Llanquihue","p101","Hombre","11",2010,435046.926868477,280961.469135312,"[261967, 866138]","[200196, 445447]"
"228","provincia","Llanquihue","p101","Hombre","11",2012,577281.496090378,301546.493952508,"[406317, 775393]","[206703, 860063]"
