year,region_id,cie_10_id,sex_id,casualities_count,casualities_rate_per_100_inhabitants
2014,5,C00-D48,2,1666,1.8758000000000001
2014,5,C00-D48,1,1453,1.5791
2014,5,E00-E90,2,284,0.31980000000000003
2014,5,E00-E90,1,297,0.32280000000000003
2014,5,I00-I99,2,1757,1.9783000000000002
2014,5,I00-I99,1,1768,1.9213999999999998
2014,5,J00-J99,2,598,0.6733
2014,5,J00-J99,1,600,0.6520999999999999
2014,5,K00-K93,2,459,0.5168
2014,5,K00-K93,1,330,0.3586
2014,5,V01-Y98,2,533,0.6001
2014,5,V01-Y98,1,219,0.23800000000000002
2014,5,B20-B24,2,44,0.0495
2014,5,B20-B24,1,6,0.006500000000000001
2014,5,V01-V99,2,109,0.12269999999999999
2014,5,V01-V99,1,28,0.0304
2014,5,X60-X84,2,145,0.16329999999999997
2014,5,X60-X84,1,35,0.038
2010,13,C00-D48,2,4829,1.4380000000000002
2010,13,C00-D48,1,4435,1.258
2010,13,E00-E90,2,945,0.2814
2010,13,E00-E90,1,1049,0.29760000000000003
2010,13,I00-I99,2,4997,1.4880000000000002
2010,13,I00-I99,1,5459,1.5485
2010,13,J00-J99,2,1736,0.517
2010,13,J00-J99,1,1823,0.5171
2010,13,K00-K93,2,1609,0.47909999999999997
2010,13,K00-K93,1,1086,0.308
2010,13,V01-Y98,2,2060,0.6134000000000001
2010,13,V01-Y98,1,769,0.2181
2010,13,B20-B24,2,164,0.048799999999999996
2010,13,B20-B24,1,32,0.0091
2010,13,V01-V99,2,505,0.15039999999999998
2010,13,V01-V99,1,150,0.0425
2010,13,X60-X84,2,541,0.1611
2010,13,X60-X84,1,151,0.042800000000000005
2011,13,C00-D48,2,4711,1.3903
2011,13,C00-D48,1,4619,1.2986000000000002
2011,13,E00-E90,2,994,0.2933
2011,13,E00-E90,1,1066,0.29969999999999997
2011,13,I00-I99,2,4882,1.4406999999999999
2011,13,I00-I99,1,5068,1.4247999999999998
2011,13,J00-J99,2,1630,0.48100000000000004
2011,13,J00-J99,1,1797,0.5052
2011,13,K00-K93,2,1609,0.47479999999999994
2011,13,K00-K93,1,1156,0.325
2011,13,V01-Y98,2,2007,0.5922999999999999
2011,13,V01-Y98,1,727,0.20440000000000003
2011,13,B20-B24,2,183,0.054000000000000006
2011,13,B20-B24,1,32,0.009000000000000001
2011,13,V01-V99,2,465,0.13720000000000002
2011,13,V01-V99,1,138,0.0388
2011,13,X60-X84,2,561,0.1656
2011,13,X60-X84,1,151,0.0425
2012,13,C00-D48,2,4844,1.4168
2012,13,C00-D48,1,4728,1.3175
2012,13,E00-E90,2,951,0.2782
2012,13,E00-E90,1,1034,0.28809999999999997
2012,13,I00-I99,2,4960,1.4506999999999999
2012,13,I00-I99,1,5378,1.4986000000000002
2012,13,J00-J99,2,1789,0.5233
2012,13,J00-J99,1,2059,0.5738
2012,13,K00-K93,2,1680,0.4914
2012,13,K00-K93,1,1113,0.31010000000000004
2012,13,V01-Y98,2,1955,0.5718
2012,13,V01-Y98,1,642,0.1789
2012,13,B20-B24,2,171,0.05
2012,13,B20-B24,1,41,0.011399999999999999
2012,13,V01-V99,2,467,0.1366
2012,13,V01-V99,1,141,0.0393
2012,13,X60-X84,2,543,0.1588
2012,13,X60-X84,1,127,0.0354
2013,13,C00-D48,2,4846,1.3872
2013,13,C00-D48,1,4777,1.3089
2013,13,E00-E90,2,973,0.2785
2013,13,E00-E90,1,1073,0.294
2013,13,I00-I99,2,5115,1.4642
2013,13,I00-I99,1,5399,1.4794
2013,13,J00-J99,2,1865,0.5339
2013,13,J00-J99,1,2063,0.5653
2013,13,K00-K93,2,1650,0.47229999999999994
2013,13,K00-K93,1,1102,0.302
2013,13,V01-Y98,2,1939,0.5550999999999999
2013,13,V01-Y98,1,691,0.1893
2013,13,B20-B24,2,213,0.061
2013,13,B20-B24,1,35,0.0096
2013,13,V01-V99,2,520,0.1489
2013,13,V01-V99,1,132,0.0362
2013,13,X60-X84,2,493,0.1411
2013,13,X60-X84,1,146,0.04
2014,13,C00-D48,2,4970,1.4055000000000002
2014,13,C00-D48,1,4688,1.2695999999999998
2014,13,E00-E90,2,1002,0.2834
2014,13,E00-E90,1,1188,0.32170000000000004
2014,13,I00-I99,2,5248,1.4841
2014,13,I00-I99,1,5791,1.5683
2014,13,J00-J99,2,2027,0.5732
2014,13,J00-J99,1,2166,0.5866
2014,13,K00-K93,2,1698,0.4802
2014,13,K00-K93,1,1123,0.3041
2014,13,V01-Y98,2,1998,0.565
2014,13,V01-Y98,1,669,0.1812
2014,13,B20-B24,2,203,0.0574
2014,13,B20-B24,1,27,0.0073
2014,13,V01-V99,2,532,0.15039999999999998
2014,13,V01-V99,1,128,0.0347
2014,13,X60-X84,2,510,0.1442
2014,13,X60-X84,1,140,0.0379
2010,6,C00-D48,2,578,1.2974
2010,6,C00-D48,1,503,1.1488
2010,6,E00-E90,2,111,0.2492
2010,6,E00-E90,1,109,0.2489
2010,6,I00-I99,2,742,1.6655000000000002
2010,6,I00-I99,1,690,1.5758
2010,6,J00-J99,2,299,0.6711
2010,6,J00-J99,1,312,0.7126
2010,6,K00-K93,2,237,0.532
2010,6,K00-K93,1,131,0.2992
2010,6,V01-Y98,2,403,0.9046
2010,6,V01-Y98,1,95,0.217
2010,6,B20-B24,2,23,0.0516
2010,6,B20-B24,1,3,0.0069
2010,6,V01-V99,2,137,0.3075
2010,6,V01-V99,1,21,0.048
2010,6,X60-X84,2,85,0.19079999999999997
2010,6,X60-X84,1,19,0.0434
