"","provincia","sex","occupation","2011","2013","2015"
"505","Arica","Hombre","7413",184860,NA,NA
"506","Arica","Hombre","7422",381991,150000,NA
"507","Arica","Hombre","7433",217637,800000,NA
"508","Arica","Hombre","7436",205400,NA,NA
"509","Arica","Hombre","7437",292010,60000,NA
"510","Arica","Hombre","7442",167988,167742,120000
"511","Arica","Hombre","8111",768178,366000,480000
"512","Arica","Hombre","8112",918179,318750,2000000
"513","Arica","Hombre","8113",501660,658841,250000
"514","Arica","Hombre","8162",280793,NA,NA
"515","Arica","Hombre","8163",328200,361000,220000
"516","Arica","Hombre","8211",382900,350000,NA
"517","Arica","Hombre","8212",181194,206364,600000
"518","Arica","Hombre","8251",202390,286250,NA
"519","Arica","Hombre","8271",226093,138246,272308
"520","Arica","Hombre","8273",251620,300000,NA
"521","Arica","Hombre","8278",218800,177419,407679
"522","Arica","Hombre","8284",547000,NA,NA
"523","Arica","Hombre","8290",260401,NA,NA
"524","Arica","Hombre","8312",273500,NA,NA
"525","Arica","Hombre","8322",410800,300000,260000
"526","Arica","Hombre","8323",410800,305096,300000
"527","Arica","Hombre","8324",437600,314545,371942
