"","occupation","sex","2011","2013","2015"
"492","7413","Mujer",252451,166993,260797
"493","7414","Hombre",228606,308841,284820
"494","7414","Mujer",190692,196172,211525
"495","7415","Hombre",698011,272571,430877
"496","7415","Mujer",217253,273992,294818
"497","7416",NA,NA,NA,NA
"498","7421","Hombre",214298,272998,329521
"499","7422","Hombre",393391,314293,333551
"500","7422","Mujer",398007,198719,228435
"501","7423","Hombre",237312,263348,274906
"502","7423","Mujer",202722,280000,200980
"503","7424","Hombre",253304,25000,316324
"504","7424","Mujer",20540,NA,19371
"505","7431","Hombre",186774,326588,237115
"506","7431","Mujer",84442,100000,326282
"507","7432","Hombre",262796,219788,315480
"508","7432","Mujer",257847,76929,86235
"509","7433","Hombre",391941,214535,308928
"510","7433","Mujer",237571,147658,187858
"511","7435","Hombre",241121,240526,662761
"512","7435","Mujer",164100,176860,264768
"513","7436","Hombre",454985,259065,311232
"514","7436","Mujer",184959,139175,158806
"515","7437","Hombre",264908,209598,243336
"516","7437","Mujer",198804,180384,204696
"517","7442","Hombre",311002,253805,218439
"518","7442","Mujer",199108,173090,215847
"519","8111","Hombre",669587,649974,738177
"520","8111","Mujer",239308,344068,NA
"521","8112","Hombre",586030,854843,611123
"522","8112","Mujer",317430,NA,399577
"523","8113","Hombre",464279,556162,565567
"524","8113","Mujer",437600,924000,NA
"525","8121","Hombre",503970,431530,692431
"526","8122","Hombre",294229,365417,456963
"527","8123","Hombre",274304,540233,405633
"528","8124","Hombre",267984,326555,356510
"529","8124","Mujer",196920,350000,430227
"530","8131",NA,NA,NA,NA
"531","8139","Hombre",281826,669454,388421
"532","8139","Mujer",203484,NA,NA
"533","8141","Hombre",256529,246974,308622
"534","8142","Hombre",228940,383742,600000
"535","8143","Hombre",316991,274302,361388
"536","8151","Hombre",569113,198000,409185
"537","8152","Hombre",283403,374000,276667
"538","8153","Hombre",456621,377096,900135
"539","8154",NA,NA,NA,NA
"540","8155","Hombre",329434,606658,605149
"541","8159","Hombre",262879,308444,449550
"542","8161","Hombre",531322,449157,595056
"543","8162","Hombre",344248,358392,469105
"544","8162","Mujer",328200,NA,NA
"545","8163","Hombre",295943,346443,338616
"546","8163","Mujer",124323,128558,200511
"547","8171","Hombre",328200,369341,483258
"548","8172",NA,NA,NA,NA
"549","8210",NA,NA,NA,NA
"550","8211","Hombre",342973,399377,442536
"551","8212","Hombre",296154,752959,434041
"552","8221","Hombre",245346,388449,352372
"553","8221","Mujer",209854,239962,257056
"554","8222","Hombre",557779,725904,566725
"555","8223","Hombre",333372,224180,447155
"556","8223","Mujer",328640,210000,NA
"557","8224","Hombre",199108,NA,346955
"558","8229","Hombre",347686,379921,308918
"559","8229","Mujer",328200,314505,255927
"560","8231","Hombre",295842,284251,372439
"561","8231","Mujer",1027000,NA,259375
"562","8232","Hombre",350921,280063,351144
"563","8232","Mujer",199108,234926,240770
"564","8240","Hombre",258987,255729,381009
"565","8240","Mujer",260303,143935,239967
"566","8251","Hombre",308471,394737,326735
"567","8251","Mujer",220405,143098,261633
"568","8252","Hombre",221920,521663,354258
"569","8253","Hombre",237456,246547,355717
"570","8253","Mujer",109400,407863,157219
"571","8261","Hombre",221203,308899,359383
"572","8261","Mujer",202609,165000,323074
"573","8262","Hombre",248800,268690,297009
"574","8262","Mujer",202382,200000,196364
"575","8263","Hombre",303910,246064,321427
"576","8263","Mujer",299744,192550,343300
"577","8264","Hombre",263323,350058,340884
"578","8264","Mujer",135243,219416,258058
"579","8265","Hombre",240680,350000,414055
"580","8266","Hombre",447283,216429,561538
"581","8266","Mujer",264486,268499,350000
"582","8269","Hombre",221617,290820,444968
"583","8269","Mujer",172542,351855,294609
"584","8270",NA,NA,NA,NA
"585","8271","Hombre",271479,296182,345263
"586","8271","Mujer",204620,220733,257609
"587","8272","Hombre",233813,261896,278908
"588","8272","Mujer",246340,224938,229700
"589","8273","Hombre",324756,288653,297716
"590","8273","Mujer",185980,245000,180701
"591","8274","Hombre",277087,298190,309603
"592","8274","Mujer",226297,229496,301598
"593","8275","Hombre",271306,364477,317072
"594","8275","Mujer",168749,181476,275637
"595","8276","Hombre",199108,303521,337946
"596","8277","Hombre",258544,294827,365518
"597","8278","Hombre",260487,304837,418587
"598","8278","Mujer",308100,236193,267235
"599","8281","Hombre",410899,235659,370514
"600","8282","Hombre",218800,384675,356768
"601","8282","Mujer",158630,NA,240000
"602","8283",NA,NA,NA,NA
"603","8284","Hombre",279079,382590,683028
"604","8285","Hombre",461289,250000,276151
"605","8286","Hombre",273500,322532,375460
"606","8290","Hombre",270743,279476,435706
"607","8290","Mujer",188788,207397,266693
"608","8311","Hombre",563684,822274,683361
"609","8311","Mujer",547000,400000,1000000
"610","8312","Hombre",410876,406692,375191
"611","8321","Hombre",236042,379408,221410
"612","8322","Hombre",402665,337888,396506
"613","8322","Mujer",454795,335245,389482
"614","8323","Hombre",385847,358115,446030
"615","8323","Mujer",706339,490421,425125
"616","8324","Hombre",408377,418889,443259
"617","8324","Mujer",579361,353984,359207
"618","8330",NA,NA,NA,NA
"619","8331","Hombre",234250,271262,318352
"620","8331","Mujer",493785,227101,213233
"621","8332","Hombre",379264,518541,499234
"622","8332","Mujer",1784413,378514,563480
"623","8333","Hombre",474948,405659,433934
"624","8333","Mujer",631619,NA,485497
"625","8334","Hombre",301762,412637,364553
"626","8334","Mujer",141243,280000,272000
"627","8340","Hombre",632152,442982,538154
"628","8340","Mujer",993369,905927,300000
"629","9111","Hombre",282993,199842,207405
"630","9111","Mujer",222845,141478,156057
"631","9112","Hombre",263403,194133,221112
"632","9112","Mujer",206445,114608,121620
"633","9113","Hombre",385032,325531,332880
"634","9113","Mujer",179580,122373,126565
"635","9120","Hombre",189276,145288,177772
"636","9120","Mujer",205400,30000,128182
"637","9131","Hombre",259994,192633,415347
"638","9131","Mujer",174352,177717,213482
"639","9132","Hombre",234208,232523,288841
"640","9132","Mujer",190661,199657,234268
"641","9133","Hombre",207137,445112,380418
"642","9133","Mujer",170543,137230,256519
"643","9141","Hombre",234050,260777,308350
"644","9141","Mujer",200733,267357,249575
"645","9142","Hombre",213134,198958,231114
"646","9142","Mujer",198252,187366,212762
"647","9151","Hombre",259048,265469,300190
"648","9151","Mujer",205194,226373,247930
"649","9152","Hombre",260237,274407,310862
"650","9152","Mujer",212985,246831,272544
"651","9153","Hombre",192918,266519,289321
"652","9153","Mujer",117569,124083,193637
"653","9161","Hombre",192915,229180,274247
"654","9161","Mujer",83764,140322,114087
"655","9162","Hombre",199050,195241,228208
"656","9162","Mujer",134146,182716,191560
"657","9211","Hombre",208997,198124,247417
"658","9211","Mujer",165788,176713,219485
"659","9212","Hombre",278949,206192,262964
"660","9212","Mujer",159398,110819,172167
"661","9213","Hombre",231495,202753,284392
"662","9213","Mujer",161184,146344,211190
"663","9251",NA,NA,NA,NA
"664","9311","Hombre",393159,387215,434923
"665","9311","Mujer",461660,292481,322500
"666","9312","Hombre",281537,326983,331528
"667","9312","Mujer",212077,315265,242788
"668","9313","Hombre",286464,246972,309680
"669","9313","Mujer",284390,268759,283771
"670","9321","Hombre",170355,259478,351263
"671","9321","Mujer",156505,246792,259819
"672","9322","Hombre",186190,187218,237458
"673","9322","Mujer",169453,153460,213450
"674","9331","Hombre",215095,260466,121429
"675","9331","Mujer",99260,NA,315000
"676","9332","Hombre",204723,149023,308419
"677","9333","Hombre",233443,248478,264780
"678","9333","Mujer",182850,198550,282397
"679","9999","Hombre",353410,416083,367351
"680","9999","Mujer",310866,174130,435888
"681","3232",NA,NA,NA,NA
"682","5120",NA,NA,NA,NA
"683","7323","Hombre",302569,358911,NA
"684","7410",NA,NA,NA,NA
"685","2140",NA,NA,NA,NA
