"","region","sex","occupation","2011","2013","2015"
"310","Antofagasta","Mujer","3432",415812,604648,439865
"311","Antofagasta","Mujer","3433",437600,277460,1231868
"312","Antofagasta","Mujer","3439",344772,745882,NA
"313","Antofagasta","Mujer","3442",2188000,NA,NA
"314","Antofagasta","Mujer","3449",450494,291104,401957
"315","Antofagasta","Mujer","3460",185980,469811,322312
"316","Antofagasta","Mujer","3471",328200,233333,5842857
"317","Antofagasta","Mujer","3473",259369,NA,NA
"318","Antofagasta","Mujer","3475",269888,NA,NA
"319","Antofagasta","Mujer","4112",240680,NA,NA
"320","Antofagasta","Mujer","4115",437600,353039,390356
"321","Antofagasta","Mujer","4121",439468,337451,428977
"322","Antofagasta","Mujer","4122",237504,394253,500000
"323","Antofagasta","Mujer","4131",433361,343935,374684
"324","Antofagasta","Mujer","4132",397532,230000,248025
"325","Antofagasta","Mujer","4133",492300,213684,235275
"326","Antofagasta","Mujer","4141",273500,405517,380000
"327","Antofagasta","Mujer","4144",251620,NA,3000000
"328","Antofagasta","Mujer","4190",369945,322364,500000
"329","Antofagasta","Mujer","4211",207043,230000,350000
"330","Antofagasta","Mujer","4212",42602,148000,450000
"331","Antofagasta","Mujer","4213",404780,345935,331314
"332","Antofagasta","Mujer","4215",280296,NA,225000
"333","Antofagasta","Mujer","4222",273500,315047,377019
"334","Antofagasta","Mujer","4223",281229,373744,263351
"335","Antofagasta","Mujer","5111",273500,350000,NA
"336","Antofagasta","Mujer","5121",407421,346939,832000
"337","Antofagasta","Mujer","5122",240680,210000,250000
"338","Antofagasta","Mujer","5123",218800,246522,250000
"339","Antofagasta","Mujer","5131",196920,253651,202609
"340","Antofagasta","Mujer","5132",273500,284065,320000
"341","Antofagasta","Mujer","5133",196726,188882,NA
"342","Antofagasta","Mujer","5139",170664,NA,264638
"343","Antofagasta","Mujer","5141",369720,209722,300000
"344","Antofagasta","Mujer","5143",382900,NA,NA
"345","Antofagasta","Mujer","5151",251620,NA,NA
"346","Antofagasta","Mujer","5169",273500,NA,NA
"347","Antofagasta","Mujer","5220",218800,220000,300000
"348","Antofagasta","Mujer","5230",308100,150000,250966
"349","Antofagasta","Mujer","6111",252642,132609,202308
"350","Antofagasta","Mujer","6113",245895,223457,350000
"351","Antofagasta","Mujer","6114",63674,NA,NA
"352","Antofagasta","Mujer","6141",718900,NA,NA
"353","Antofagasta","Mujer","7111",645595,1184375,NA
"354","Antofagasta","Mujer","7122",164100,NA,NA
"355","Antofagasta","Mujer","7124",382900,NA,NA
"356","Antofagasta","Mujer","7212",282638,NA,NA
"357","Antofagasta","Mujer","7222",109400,NA,NA
"358","Antofagasta","Mujer","7231",588500,NA,350000
"359","Antofagasta","Mujer","7233",491095,NA,NA
"360","Antofagasta","Mujer","7331",630422,NA,153073
"361","Antofagasta","Mujer","7332",123240,80000,NA
"362","Antofagasta","Mujer","7345",201296,NA,NA
"363","Antofagasta","Mujer","7411",230601,218998,290000
"364","Antofagasta","Mujer","7412",268049,219872,200000
"365","Antofagasta","Mujer","7432",145360,NA,200000
"366","Antofagasta","Mujer","7433",371695,74196,115498
"367","Antofagasta","Mujer","7435",164100,NA,NA
"368","Antofagasta","Mujer","7436",159020,100000,206426
"369","Antofagasta","Mujer","7437",924300,NA,NA
"370","Antofagasta","Mujer","8111",175040,NA,NA
"371","Antofagasta","Mujer","8112",336837,NA,NA
"372","Antofagasta","Mujer","8163",328200,320000,NA
"373","Antofagasta","Mujer","8251",88778,NA,NA
"374","Antofagasta","Mujer","8262",196920,NA,NA
"375","Antofagasta","Mujer","8322",400148,300000,427000
"376","Antofagasta","Mujer","8323",379600,400000,448693
"377","Antofagasta","Mujer","8324",667212,552288,517073
"378","Antofagasta","Mujer","8331",979130,NA,NA
"379","Antofagasta","Mujer","8332",109400,800000,800000
"380","Antofagasta","Mujer","8333",430504,NA,615000
"381","Antofagasta","Mujer","9111",263001,154667,69681
"382","Antofagasta","Mujer","9112",122373,113200,118494
"383","Antofagasta","Mujer","9113",244426,118782,300000
"384","Antofagasta","Mujer","9120",205400,NA,NA
"385","Antofagasta","Mujer","9131",185980,207188,200000
"386","Antofagasta","Mujer","9132",218800,223274,250000
"387","Antofagasta","Mujer","9133",217233,152617,240000
"388","Antofagasta","Mujer","9141",261935,308451,350000
"389","Antofagasta","Mujer","9142",218800,250000,NA
"390","Antofagasta","Mujer","9151",182043,250000,285006
"391","Antofagasta","Mujer","9152",306320,330000,366333
"392","Antofagasta","Mujer","9153",218800,NA,250000
"393","Antofagasta","Mujer","9161",199971,NA,160000
"394","Antofagasta","Mujer","9162",290672,137000,263132
"395","Antofagasta","Mujer","9211",201426,NA,NA
"396","Antofagasta","Mujer","9213",179258,96800,NA
"397","Antofagasta","Mujer","9311",1625443,280000,NA
"398","Antofagasta","Mujer","9313",201331,241429,350000
"399","Antofagasta","Mujer","9322",196920,100000,149783
"400","Antofagasta","Mujer","9333",364083,280000,400000
"401","Antofagasta","Mujer","9999",306320,89423,290000
"402","Araucanía","Hombre","0110",423517,461516,436800
"403","Araucanía","Hombre","1130",486830,NA,892174
"404","Araucanía","Hombre","1229",875200,944758,861818
"405","Araucanía","Hombre","1232",437600,796691,NA
"406","Araucanía","Hombre","1311",368456,500000,362034
"407","Araucanía","Hombre","1313",356369,800000,493220
"408","Araucanía","Hombre","1314",143780,279412,250000
"409","Araucanía","Hombre","1315",1438207,400000,241429
"410","Araucanía","Hombre","1316",1400636,330822,741739
"411","Araucanía","Hombre","1317",3747322,NA,2620000
"412","Araucanía","Hombre","1318",2054000,NA,755034
"413","Araucanía","Hombre","1319",450533,989177,1034028
"414","Araucanía","Hombre","2131",687709,850000,757018
"415","Araucanía","Hombre","2141",1344239,850221,1123721
"416","Araucanía","Hombre","2142",1597360,990358,945192
"417","Araucanía","Hombre","2143",1408402,998504,623333
"418","Araucanía","Hombre","2144",339275,NA,NA
"419","Araucanía","Hombre","2145",1275831,729780,790064
"420","Araucanía","Hombre","2149",1184374,900000,1000000
"421","Araucanía","Hombre","2213",618848,950000,751553
"422","Araucanía","Hombre","2221",1306179,2500000,3158662
"423","Araucanía","Hombre","2223",984600,858861,626136
"424","Araucanía","Hombre","2229",875200,200000,1000000
"425","Araucanía","Hombre","2230",853320,512849,NA
"426","Araucanía","Hombre","2310",1186730,877778,947619
"427","Araucanía","Hombre","2320",788903,592135,550000
"428","Araucanía","Hombre","2331",600097,702674,699959
"429","Araucanía","Hombre","2352",366102,NA,1200000
"430","Araucanía","Hombre","2411",635092,678987,696629
"431","Araucanía","Hombre","2419",483725,917395,442358
"432","Araucanía","Hombre","2421",1631100,928379,2478723
"433","Araucanía","Hombre","2422",1437800,NA,NA
"434","Araucanía","Hombre","2441",560974,NA,NA
"435","Araucanía","Hombre","2446",655122,700000,917727
"436","Araucanía","Hombre","2452",1094000,220000,216231
"437","Araucanía","Hombre","2453",616200,NA,300000
"438","Araucanía","Hombre","2455",1531600,1000000,NA
"439","Araucanía","Hombre","2460",295366,284240,250000
"440","Araucanía","Hombre","3113",718900,414588,500000
"441","Araucanía","Hombre","3114",867846,347191,241000
"442","Araucanía","Hombre","3118",273500,770968,241000
"443","Araucanía","Hombre","3121",284030,280611,449231
"444","Araucanía","Hombre","3122",459480,400000,336949
"445","Araucanía","Hombre","3131",329976,427083,434545
"446","Araucanía","Hombre","3151",328200,387200,447738
"447","Araucanía","Hombre","3152",273500,400000,500000
"448","Araucanía","Hombre","3212",428968,317391,315723
"449","Araucanía","Hombre","3213",1094000,272024,1000000
"450","Araucanía","Hombre","3221",382900,1500000,350526
"451","Araucanía","Hombre","3226",437600,625455,686222
"452","Araucanía","Hombre","3229",415720,350000,NA
"453","Araucanía","Hombre","3231",416595,304359,490000
"454","Araucanía","Hombre","3310",302759,531126,234255
"455","Araucanía","Hombre","3340",820500,400000,298246
"456","Araucanía","Hombre","3411",382900,888174,500000
"457","Araucanía","Hombre","3413",508605,215536,243333
"458","Araucanía","Hombre","3419",1641000,NA,NA
"459","Araucanía","Hombre","3431",218800,500000,328632
"460","Araucanía","Hombre","3432",763271,420000,630675
"461","Araucanía","Hombre","3433",499283,700000,500000
"462","Araucanía","Hombre","3439",482484,210000,488103
"463","Araucanía","Hombre","3444",867542,NA,450000
"464","Araucanía","Hombre","3449",1244215,868889,400000
"465","Araucanía","Hombre","3450",1066650,675000,1816129
"466","Araucanía","Hombre","3460",437600,NA,314023
"467","Araucanía","Hombre","3471",452029,250000,426543
"468","Araucanía","Hombre","3472",281942,203822,445902
"469","Araucanía","Hombre","3473",2948484,500000,140000
"470","Araucanía","Hombre","3474",718900,173409,NA
"471","Araucanía","Hombre","3475",273500,461176,280000
"472","Araucanía","Hombre","3480",419793,NA,396226
"473","Araucanía","Hombre","4115",308100,444886,352038
"474","Araucanía","Hombre","4121",502642,400000,250000
"475","Araucanía","Hombre","4122",328200,219936,379212
"476","Araucanía","Hombre","4131",290802,245248,300000
"477","Araucanía","Hombre","4133",340192,210000,461805
"478","Araucanía","Hombre","4142",285236,274588,280671
"479","Araucanía","Hombre","4190",307396,361233,329412
"480","Araucanía","Hombre","4211",239131,245202,245488
"481","Araucanía","Hombre","4213",206578,200000,400000
"482","Araucanía","Hombre","4215",415720,247358,414615
"483","Araucanía","Hombre","4221",273500,260000,250000
"484","Araucanía","Hombre","4222",181528,242163,250000
"485","Araucanía","Hombre","4223",680875,230000,295255
"486","Araucanía","Hombre","5112",199108,204741,241000
"487","Araucanía","Hombre","5113",476671,350719,266855
"488","Araucanía","Hombre","5121",210702,210000,250000
"489","Araucanía","Hombre","5122",216820,354957,250000
"490","Araucanía","Hombre","5123",199108,210000,188696
"491","Araucanía","Hombre","5131",199108,210000,295563
"492","Araucanía","Hombre","5132",520117,298313,240305
"493","Araucanía","Hombre","5133",718900,NA,40000
"494","Araucanía","Hombre","5141",343047,127483,243342
"495","Araucanía","Hombre","5162",501449,670917,593651
"496","Araucanía","Hombre","5163",726565,448125,774290
"497","Araucanía","Hombre","5169",218800,233243,250000
"498","Araucanía","Hombre","5220",199108,210000,250000
"499","Araucanía","Hombre","5230",269478,148889,250000
"500","Araucanía","Hombre","6111",164320,150000,150000
"501","Araucanía","Hombre","6112",196920,221951,241000
"502","Araucanía","Hombre","6113",169374,199875,150000
"503","Araucanía","Hombre","6114",212607,NA,NA
"504","Araucanía","Hombre","6121",199983,200000,225000
"505","Araucanía","Hombre","6122",159724,NA,200000
"506","Araucanía","Hombre","6123",218043,151146,237667
