"","provincia","sex","occupation","2011","2013","2015"
"391","Arica","Hombre","2331",645430,637460,756428
"392","Arica","Hombre","2332",547000,NA,NA
"393","Arica","Hombre","2340",492300,725000,NA
"394","Arica","Hombre","2352",324834,450003,NA
"395","Arica","Hombre","2359",378211,500000,NA
"396","Arica","Hombre","2411",691536,1083556,562857
"397","Arica","Hombre","2419",520900,1425621,NA
"398","Arica","Hombre","2421",1128471,800000,2396859
"399","Arica","Hombre","2422",1094000,5340000,NA
"400","Arica","Hombre","2429",601700,NA,1400000
"401","Arica","Hombre","2445",886339,758356,1200000
"402","Arica","Hombre","2446",672634,739780,NA
"403","Arica","Hombre","2451",547000,NA,NA
"404","Arica","Hombre","2452",218800,NA,NA
"405","Arica","Hombre","2453",369142,NA,NA
"406","Arica","Hombre","2460",205400,283115,120000
"407","Arica","Hombre","3112",596230,567816,500000
"408","Arica","Hombre","3114",378481,NA,500000
"409","Arica","Hombre","3115",346019,NA,500000
"410","Arica","Hombre","3118",723902,620619,453816
"411","Arica","Hombre","3121",206573,566092,1040928
"412","Arica","Hombre","3122",1232400,72222,NA
"413","Arica","Hombre","3131",143780,154348,NA
"414","Arica","Hombre","3142",348187,NA,NA
"415","Arica","Hombre","3152",555151,706757,500000
"416","Arica","Hombre","3212",334399,277026,NA
"417","Arica","Hombre","3213",246480,NA,507597
"418","Arica","Hombre","3225",1643200,250000,NA
"419","Arica","Hombre","3231",504095,336577,NA
"420","Arica","Hombre","3310",1312800,NA,NA
"421","Arica","Hombre","3411",427812,600000,NA
"422","Arica","Hombre","3412",132374,350000,NA
"423","Arica","Hombre","3413",567339,675862,2000000
"424","Arica","Hombre","3415",206612,397720,NA
"425","Arica","Hombre","3422",196920,500000,NA
"426","Arica","Hombre","3423",984600,695238,NA
"427","Arica","Hombre","3431",497199,476685,688961
"428","Arica","Hombre","3433",529797,400488,400000
"429","Arica","Hombre","3439",593876,400000,800000
"430","Arica","Hombre","3441",555811,700000,1400000
"431","Arica","Hombre","3442",2735000,597778,NA
"432","Arica","Hombre","3449",1110207,NA,NA
"433","Arica","Hombre","3450",894996,1181984,NA
"434","Arica","Hombre","3471",1232400,260606,150000
"435","Arica","Hombre","3473",287560,131280,120000
"436","Arica","Hombre","3480",379990,NA,265217
"437","Arica","Hombre","4113",421590,NA,NA
"438","Arica","Hombre","4115",298865,290002,800000
