"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"113","pais","País","pais","2000","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",327201,182600,"[309019, 347762]","[182600, 183513]"
"114","pais","País","pais","2000","Mujer","Operadores y Montadores de Instalaciones y Máquinas",148270,110000,"[136827, 159636]","[1e+05, 117000]"
"115","pais","País","pais","2000","Mujer","Profesionales, Científicos e Intelectuales",364419,3e+05,"[351951, 377365]","[3e+05, 3e+05]"
"116","pais","País","pais","2000","Mujer","Técnicos y Profesionales de Nivel Medio",235920,189440,"[227977, 246747]","[180000, 2e+05]"
"117","pais","País","pais","2000","Mujer","Trabajadores Agropecuarios y Pesqueros",91882,85000,"[88104, 96063]","[80000, 90000]"
"118","pais","País","pais","2000","Mujer","Trabajadores de Artes Mecánicas y Otros",114353,91300,"[109474, 119808]","[91300, 1e+05]"
"119","pais","País","pais","2000","Mujer","Trabajadores de Servicios y Vendedores",123247,1e+05,"[119996, 125631]","[1e+05, 1e+05]"
"120","pais","País","pais","2000","Mujer","Trabajadores No Calificados",83504,80000,"[82531, 85129]","[80000, 80000]"
"121","pais","País","pais","2003","Hombre","Empleados de Oficina",235979,188822,"[228296, 245218]","[180000, 2e+05]"
"122","pais","País","pais","2003","Hombre","Fuerzas Armadas",416730,320000,"[365826, 474679]","[3e+05, 380000]"
"123","pais","País","pais","2003","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",1034343,494000,"[959032, 1122523]","[493117, 497150]"
"124","pais","País","pais","2003","Hombre","Operadores y Montadores de Instalaciones y Máquinas",211983,163000,"[207238, 216016]","[160000, 170000]"
"125","pais","País","pais","2003","Hombre","Profesionales, Científicos e Intelectuales",827243,5e+05,"[787395, 872826]","[5e+05, 533974]"
"126","pais","País","pais","2003","Hombre","Técnicos y Profesionales de Nivel Medio",413874,296400,"[393721, 437694]","[283795, 3e+05]"
"127","pais","País","pais","2003","Hombre","Trabajadores Agropecuarios y Pesqueros",154636,118000,"[150317, 159377]","[115342, 118560]"
"128","pais","País","pais","2003","Hombre","Trabajadores de Artes Mecánicas y Otros",206393,158080,"[202632, 210329]","[158080, 160000]"
"129","pais","País","pais","2003","Hombre","Trabajadores de Servicios y Vendedores",189229,150000,"[184358, 194629]","[145000, 150000]"
"130","pais","País","pais","2003","Hombre","Trabajadores No Calificados",114914,111000,"[113890, 116144]","[110000, 111500]"
"131","pais","País","pais","2003","Mujer","Empleados de Oficina",176811,150000,"[172855, 181043]","[150000, 150000]"
"132","pais","País","pais","2003","Mujer","Fuerzas Armadas",386250,415000,"[311719, 454000]","[297375, 487625]"
"133","pais","País","pais","2003","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",415753,237120,"[390061, 441587]","[220154, 237120]"
"134","pais","País","pais","2003","Mujer","Operadores y Montadores de Instalaciones y Máquinas",189019,120000,"[170684, 205223]","[120000, 130000]"
"135","pais","País","pais","2003","Mujer","Profesionales, Científicos e Intelectuales",443637,360000,"[428124, 462729]","[350000, 380000]"
"136","pais","País","pais","2003","Mujer","Técnicos y Profesionales de Nivel Medio",282888,2e+05,"[273215, 299571]","[194554, 2e+05]"
"137","pais","País","pais","2003","Mujer","Trabajadores Agropecuarios y Pesqueros",115961,92611,"[107799, 123555]","[88810, 98755]"
"138","pais","País","pais","2003","Mujer","Trabajadores de Artes Mecánicas y Otros",125267,101000,"[120389, 131214]","[1e+05, 110000]"
"139","pais","País","pais","2003","Mujer","Trabajadores de Servicios y Vendedores",132704,115000,"[129864, 135988]","[113212, 115000]"
"140","pais","País","pais","2003","Mujer","Trabajadores No Calificados",92966,90000,"[92058, 94143]","[88958, 90000]"
"141","pais","País","pais","2006","Hombre","Empleados de Oficina",259782,202000,"[251183, 271737]","[202000, 202000]"
"142","pais","País","pais","2006","Hombre","Fuerzas Armadas",428908,383800,"[397688, 467667]","[348450, 404000]"
"143","pais","País","pais","2006","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",935690,494000,"[873583, 1005057]","[494000, 509599]"
"144","pais","País","pais","2006","Hombre","Operadores y Montadores de Instalaciones y Máquinas",256572,197600,"[251327, 262438]","[191900, 202000]"
"145","pais","País","pais","2006","Hombre","Profesionales, Científicos e Intelectuales",884909,555500,"[835896, 946662]","[525200, 592800]"
"146","pais","País","pais","2006","Hombre","Técnicos y Profesionales de Nivel Medio",443886,303000,"[423578, 465472]","[303000, 303000]"
"147","pais","País","pais","2006","Hombre","Trabajadores Agropecuarios y Pesqueros",185585,136350,"[181934, 190410]","[136350, 137360]"
"148","pais","País","pais","2006","Hombre","Trabajadores de Artes Mecánicas y Otros",247665,181800,"[242642, 253347]","[181800, 191900]"
"149","pais","País","pais","2006","Hombre","Trabajadores de Servicios y Vendedores",245359,171700,"[235852, 254282]","[165155, 177840]"
"150","pais","País","pais","2006","Hombre","Trabajadores No Calificados",140189,131300,"[138881, 141855]","[131300, 131300]"
"151","pais","País","pais","2006","Mujer","Empleados de Oficina",196180,161600,"[192115, 201531]","[161600, 166170]"
"152","pais","País","pais","2006","Mujer","Fuerzas Armadas",334536,345408,"[230448, 490352]","[176658, 543506]"
"153","pais","País","pais","2006","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",468837,271700,"[429431, 503623]","[243718, 296400]"
"154","pais","País","pais","2006","Mujer","Operadores y Montadores de Instalaciones y Máquinas",194194,136855,"[179004, 212089]","[136350, 141400]"
"155","pais","País","pais","2006","Mujer","Profesionales, Científicos e Intelectuales",494832,404000,"[477584, 514897]","[404000, 404000]"
"156","pais","País","pais","2006","Mujer","Técnicos y Profesionales de Nivel Medio",305224,202000,"[292361, 322624]","[202000, 212100]"
"157","pais","País","pais","2006","Mujer","Trabajadores Agropecuarios y Pesqueros",141544,109080,"[129163, 160699]","[101000, 113650]"
"158","pais","País","pais","2006","Mujer","Trabajadores de Artes Mecánicas y Otros",149026,121200,"[141305, 159529]","[118560, 121200]"
"159","pais","País","pais","2006","Mujer","Trabajadores de Servicios y Vendedores",159352,131300,"[155602, 163963]","[128775, 131300]"
