"","geography_level","geography_name","geography_id","year","occupation","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"196","pais","País","pais","2011","3211","Mujer",284440,284440,"[284440, 284440]","[284440, 284440]"
"197","pais","País","pais","2011","3212","Hombre",462417,414467,"[360584, 563849]","[305252, 492300]"
"198","pais","País","pais","2011","3212","Mujer",317461,335938,"[233736, 433815]","[168070, 425697]"
"199","pais","País","pais","2011","3213","Hombre",632419,547000,"[493549, 858347]","[489421, 737343]"
"200","pais","País","pais","2011","3213","Mujer",358480,358480,"[273500, 432130]","[273500, 432130]"
"201","pais","País","pais","2011","3221","Hombre",312321,307368,"[249323, 397191]","[227839, 415647]"
"202","pais","País","pais","2011","3221","Mujer",465091,205902,"[185365, 955372]","[119246, 415720]"
"204","pais","País","pais","2011","3223","Hombre",538006,538006,"[196920, 827187]","[196920, 827187]"
"205","pais","País","pais","2011","3223","Mujer",848910,653226,"[544064, 1444781]","[518318, 1848600]"
"206","pais","País","pais","2011","3224","Hombre",422284,422284,"[422284, 437600]","[422284, 437600]"
"207","pais","País","pais","2011","3224","Mujer",193729,193401,"[186098, 205710]","[185980, 199053]"
"208","pais","País","pais","2011","3225","Hombre",247165,195551,"[104593, 719790]","[102700, 595663]"
"209","pais","País","pais","2011","3225","Mujer",312309,285745,"[277157, 385982]","[273500, 328200]"
"210","pais","País","pais","2011","3226","Hombre",808729,875200,"[557644, 1058168]","[382900, 1094000]"
"211","pais","País","pais","2011","3226","Mujer",369887,218800,"[262030, 479485]","[164320, 317948]"
"212","pais","País","pais","2011","3227","Hombre",311833,183023,"[110097, 555227]","[87520, 695747]"
"213","pais","País","pais","2011","3227","Mujer",72404,56589,"[32820, 208700]","[32820, 245791]"
"214","pais","País","pais","2011","3228","Hombre",435143,460876,"[269841, 558615]","[207064, 610656]"
"215","pais","País","pais","2011","3228","Mujer",266390,199158,"[191254, 391714]","[179416, 339968]"
"216","pais","País","pais","2011","3229","Hombre",806714,796602,"[353253, 1094000]","[274328, 1094000]"
"217","pais","País","pais","2011","3229","Mujer",413734,325038,"[239830, 602334]","[160654, 765800]"
"218","pais","País","pais","2011","3231","Hombre",383098,328200,"[324764, 528052]","[273500, 437600]"
"219","pais","País","pais","2011","3231","Mujer",314670,282193,"[283945, 372315]","[245876, 328200]"
"220","pais","País","pais","2011","3241","Hombre",575120,575120,"[575120, 575120]","[575120, 575120]"
"221","pais","País","pais","2011","3241","Mujer",346899,308100,"[265628, 429450]","[244948, 437600]"
"222","pais","País","pais","2011","3242","Hombre",142220,142220,"[142220, 142220]","[142220, 142220]"
"223","pais","País","pais","2011","3242","Mujer",121006,102608,"[91185, 231853]","[87520, 236863]"
"224","pais","País","pais","2011","3310","Hombre",409297,307775,"[294205, 616723]","[273500, 526923]"
"225","pais","País","pais","2011","3310","Mujer",341798,277914,"[282400, 412867]","[210003, 403594]"
"226","pais","País","pais","2011","3320","Mujer",260339,248212,"[231895, 283457]","[204784, 269621]"
