year,comuna_datachile_id,felony_id,cases
2007,44,5,39
2007,44,6,101
2007,44,7,61
2007,44,8,4
2007,44,9,70
2007,44,10,88
2007,44,11,23
2007,44,12,65
2007,44,13,0
2007,44,14,2
2008,44,1,25
2008,44,2,12
2008,44,3,234
2008,44,4,3
2008,44,5,38
2008,44,6,125
2008,44,7,54
2008,44,8,14
2008,44,9,163
2008,44,10,140
2008,44,11,34
2008,44,12,106
2008,44,13,2
2008,44,14,3
2009,44,1,29
2009,44,2,7
2009,44,3,339
2009,44,4,7
2009,44,5,81
2009,44,6,179
2009,44,7,66
2009,44,8,6
2009,44,9,162
2009,44,10,122
2009,44,11,33
2009,44,12,89
2009,44,13,0
2009,44,14,5
2010,44,1,29
2010,44,2,9
2010,44,3,230
2010,44,4,12
2010,44,5,34
2010,44,6,130
2010,44,7,37
2010,44,8,17
2010,44,9,149
2010,44,10,131
2010,44,11,32
2010,44,12,99
2010,44,13,1
2010,44,14,5
2011,44,1,23
2011,44,2,10
2011,44,3,255
2011,44,4,9
2011,44,5,54
2011,44,6,134
2011,44,7,55
2011,44,8,3
2011,44,9,136
2011,44,10,129
2011,44,11,30
2011,44,12,99
2011,44,13,0
2011,44,14,5
2012,44,1,20
2012,44,2,10
2012,44,3,273
2012,44,4,6
2012,44,5,62
2012,44,6,139
2012,44,7,58
2012,44,8,8
2012,44,9,115
2012,44,10,103
2012,44,11,18
2012,44,12,85
2012,44,13,0
2012,44,14,4
2013,44,1,40
2013,44,2,18
2013,44,3,221
2013,44,4,11
2013,44,5,40
2013,44,6,119
2013,44,7,45
2013,44,8,6
2013,44,9,140
2013,44,10,102
2013,44,11,26
2013,44,12,76
2013,44,13,0
2013,44,14,9
2014,44,1,31
2014,44,2,18
2014,44,3,227
2014,44,4,12
2014,44,5,47
2014,44,6,100
2014,44,7,64
2014,44,8,4
2014,44,9,165
2014,44,10,86
2014,44,11,15
2014,44,12,71
2014,44,13,0
2014,44,14,2
2015,44,1,34
2015,44,2,19
2015,44,3,334
2015,44,4,14
2015,44,5,74
2015,44,6,134
2015,44,7,100
2015,44,8,12
2015,44,9,157
2015,44,10,64
2015,44,11,10
2015,44,12,54
2015,44,13,1
2015,44,14,1
2016,44,1,30
2016,44,2,20
2016,44,3,270
2016,44,4,14
2016,44,5,45
2016,44,6,112
2016,44,7,92
2016,44,8,7
2016,44,9,102
2016,44,10,76
2016,44,11,18
2016,44,12,58
2016,44,13,1
2016,44,14,5
2005,45,1,14
2005,45,2,1
2005,45,3,124
2005,45,4,1
2005,45,5,12
2005,45,6,58
2005,45,7,40
2005,45,8,13
2005,45,9,127
2005,45,10,177
2005,45,11,63
2005,45,12,114
2005,45,13,0
2005,45,14,1
2006,45,1,29
2006,45,2,5
2006,45,3,181
2006,45,4,0
2006,45,5,18
2006,45,6,94
2006,45,7,44
