comuna_datachile_id,candidato_id,votos_candidato,electo,partido_id,year,election_id
140,8,27,0,0,2013,2
140,9,12,0,0,2013,2
141,1,5170,1,10,2013,2
141,2,1953,0,6,2013,2
141,8,59,0,0,2013,2
141,9,34,0,0,2013,2
142,1,6612,1,10,2013,2
142,2,2462,0,6,2013,2
142,8,142,0,0,2013,2
142,9,57,0,0,2013,2
143,1,7578,1,10,2013,2
143,2,26894,0,6,2013,2
143,8,516,0,0,2013,2
143,9,235,0,0,2013,2
144,1,27952,1,10,2013,2
144,2,9059,0,6,2013,2
144,8,422,0,0,2013,2
144,9,190,0,0,2013,2
145,1,26741,1,10,2013,2
145,2,11588,0,6,2013,2
145,8,517,0,0,2013,2
145,9,186,0,0,2013,2
146,1,2278,1,10,2013,2
146,2,1056,0,6,2013,2
146,8,23,0,0,2013,2
146,9,12,0,0,2013,2
147,1,5437,1,10,2013,2
147,2,3507,0,6,2013,2
147,8,96,0,0,2013,2
147,9,36,0,0,2013,2
148,1,8238,1,10,2013,2
148,2,3645,0,6,2013,2
148,8,99,0,0,2013,2
148,9,41,0,0,2013,2
149,1,2016,1,10,2013,2
149,2,1976,0,6,2013,2
149,8,66,0,0,2013,2
149,9,28,0,0,2013,2
150,1,5392,1,10,2013,2
150,2,2408,0,6,2013,2
150,8,101,0,0,2013,2
150,9,54,0,0,2013,2
151,1,14059,1,10,2013,2
151,2,7508,0,6,2013,2
151,8,326,0,0,2013,2
151,9,106,0,0,2013,2
152,1,33517,1,10,2013,2
152,2,26586,0,6,2013,2
152,8,576,0,0,2013,2
152,9,249,0,0,2013,2
153,1,5364,1,10,2013,2
153,2,2187,0,6,2013,2
153,8,67,0,0,2013,2
153,9,32,0,0,2013,2
154,1,4032,1,10,2013,2
154,2,2820,0,6,2013,2
154,8,55,0,0,2013,2
154,9,31,0,0,2013,2
155,1,2463,1,10,2013,2
155,2,1238,0,6,2013,2
155,8,42,0,0,2013,2
155,9,17,0,0,2013,2
156,1,5307,1,10,2013,2
156,2,1874,0,6,2013,2
156,8,59,0,0,2013,2
156,9,44,0,0,2013,2
157,1,15976,1,10,2013,2
157,2,5464,0,6,2013,2
157,8,458,0,0,2013,2
157,9,156,0,0,2013,2
158,1,2679,1,10,2013,2
158,2,1521,0,6,2013,2
158,8,39,0,0,2013,2
158,9,26,0,0,2013,2
159,1,8218,1,10,2013,2
159,2,4490,0,6,2013,2
159,8,182,0,0,2013,2
159,9,56,0,0,2013,2
160,1,26941,1,10,2013,2
160,2,17043,0,6,2013,2
160,8,794,0,0,2013,2
160,9,327,0,0,2013,2
161,1,2013,1,10,2013,2
161,2,1013,0,6,2013,2
161,8,32,0,0,2013,2
161,9,9,0,0,2013,2
162,1,83262,1,10,2013,2
162,2,50841,0,6,2013,2
162,8,2525,0,0,2013,2
162,9,714,0,0,2013,2
163,1,3813,1,10,2013,2
163,2,2054,0,6,2013,2
163,8,63,0,0,2013,2
163,9,24,0,0,2013,2
164,1,2255,1,10,2013,2
164,2,942,0,6,2013,2
164,8,22,0,0,2013,2
164,9,15,0,0,2013,2
165,1,1294,1,10,2013,2
165,2,332,0,6,2013,2
165,8,18,0,0,2013,2
165,9,10,0,0,2013,2
166,1,3154,1,10,2013,2
166,2,1415,0,6,2013,2
166,8,35,0,0,2013,2
166,9,20,0,0,2013,2
167,1,5284,1,10,2013,2
167,2,2074,0,6,2013,2
167,8,73,0,0,2013,2
167,9,20,0,0,2013,2
168,1,6161,1,10,2013,2
168,2,2283,0,6,2013,2
168,8,93,0,0,2013,2
168,9,46,0,0,2013,2
169,1,3506,1,10,2013,2
169,2,2286,0,6,2013,2
169,8,53,0,0,2013,2
169,9,36,0,0,2013,2
170,1,1827,1,10,2013,2
170,2,904,0,6,2013,2
170,8,50,0,0,2013,2
170,9,10,0,0,2013,2
171,1,1224,1,10,2013,2
171,2,1018,0,6,2013,2
171,8,17,0,0,2013,2
171,9,15,0,0,2013,2
172,1,24003,1,10,2013,2
172,2,13786,0,6,2013,2
172,8,434,0,0,2013,2
172,9,166,0,0,2013,2
173,1,13465,1,10,2013,2
173,2,4598,0,6,2013,2
173,8,210,0,0,2013,2
173,9,70,0,0,2013,2
174,1,9302,1,10,2013,2
174,2,1986,0,6,2013,2
174,8,99,0,0,2013,2
174,9,60,0,0,2013,2
175,1,6071,1,10,2013,2
175,2,2694,0,6,2013,2
175,8,87,0,0,2013,2
175,9,30,0,0,2013,2
176,1,8225,1,10,2013,2
176,2,2977,0,6,2013,2
176,8,118,0,0,2013,2
176,9,65,0,0,2013,2
177,1,6406,1,10,2013,2
177,2,3292,0,6,2013,2
177,8,119,0,0,2013,2
177,9,72,0,0,2013,2
178,1,4751,1,10,2013,2
178,2,2062,0,6,2013,2
178,8,48,0,0,2013,2
178,9,17,0,0,2013,2
179,1,4981,1,10,2013,2
179,2,1682,0,6,2013,2
179,8,79,0,0,2013,2
179,9,42,0,0,2013,2
180,1,1988,1,10,2013,2
180,2,750,0,6,2013,2
180,8,45,0,0,2013,2
180,9,9,0,0,2013,2
181,1,2729,1,10,2013,2
181,2,1382,0,6,2013,2
181,8,36,0,0,2013,2
181,9,22,0,0,2013,2
182,1,1829,1,10,2013,2
182,2,1147,0,6,2013,2
182,8,32,0,0,2013,2
182,9,9,0,0,2013,2
183,1,6519,1,10,2013,2
183,2,2122,0,6,2013,2
183,8,120,0,0,2013,2
183,9,39,0,0,2013,2
184,1,8396,1,10,2013,2
184,2,4579,0,6,2013,2
184,8,184,0,0,2013,2
184,9,58,0,0,2013,2
185,1,2843,1,10,2013,2
185,2,1902,0,6,2013,2
185,8,43,0,0,2013,2
185,9,18,0,0,2013,2
186,1,47417,1,10,2013,2
186,2,41154,0,6,2013,2
186,8,2603,0,0,2013,2
186,9,1180,0,0,2013,2
187,1,113,1,10,2013,2
187,2,60,0,6,2013,2
187,8,2,0,0,2013,2
187,9,3,0,0,2013,2
188,1,3672,1,10,2013,2
188,2,1813,0,6,2013,2
188,8,69,0,0,2013,2
188,9,20,0,0,2013,2
189,1,106,1,10,2013,2
189,2,42,0,6,2013,2
189,8,5,0,0,2013,2
189,9,0,0,0,2013,2
190,1,3702,1,10,2013,2
190,2,2546,0,6,2013,2
190,8,83,0,0,2013,2
190,9,33,0,0,2013,2
191,1,36826,1,10,2013,2
191,2,18850,0,6,2013,2
191,8,630,0,0,2013,2
191,9,207,0,0,2013,2
192,1,25459,1,10,2013,2
192,2,8813,0,6,2013,2
192,8,318,0,0,2013,2
192,9,166,0,0,2013,2
193,1,10362,1,10,2013,2
193,2,4971,0,6,2013,2
193,8,215,0,0,2013,2
193,9,77,0,0,2013,2
194,1,11941,1,10,2013,2
194,2,7907,0,6,2013,2
194,8,300,0,0,2013,2
194,9,107,0,0,2013,2
195,1,1429,1,10,2013,2
195,2,616,0,6,2013,2
195,8,21,0,0,2013,2
195,9,12,0,0,2013,2
196,1,5692,1,10,2013,2
196,2,2765,0,6,2013,2
196,8,62,0,0,2013,2
196,9,38,0,0,2013,2
197,1,12210,1,10,2013,2
197,2,8112,0,6,2013,2
197,8,241,0,0,2013,2
197,9,109,0,0,2013,2
198,1,575,1,10,2013,2
198,2,205,0,6,2013,2
198,8,8,0,0,2013,2
198,9,6,0,0,2013,2
199,1,3453,1,10,2013,2
199,2,1516,0,6,2013,2
199,8,40,0,0,2013,2
199,9,16,0,0,2013,2
200,1,7802,1,10,2013,2
200,2,4644,0,6,2013,2
200,8,183,0,0,2013,2
200,9,59,0,0,2013,2
201,1,2145,1,10,2013,2
201,2,869,0,6,2013,2
201,8,34,0,0,2013,2
201,9,8,0,0,2013,2
202,1,1422,1,10,2013,2
202,2,1134,0,6,2013,2
202,8,21,0,0,2013,2
202,9,11,0,0,2013,2
203,1,2164,1,10,2013,2
203,2,721,0,6,2013,2
203,8,33,0,0,2013,2
203,9,12,0,0,2013,2
204,1,10652,1,10,2013,2
204,2,6627,0,6,2013,2
204,8,151,0,0,2013,2
204,9,79,0,0,2013,2
205,1,31474,1,10,2013,2
205,2,11440,0,6,2013,2
205,8,600,0,0,2013,2
205,9,215,0,0,2013,2
206,1,2652,1,10,2013,2
206,2,1267,0,6,2013,2
206,8,49,0,0,2013,2
206,9,10,0,0,2013,2
207,1,2279,1,10,2013,2
207,2,1244,0,6,2013,2
207,8,38,0,0,2013,2
207,9,19,0,0,2013,2
208,1,2342,1,10,2013,2
208,2,1437,0,6,2013,2
208,8,22,0,0,2013,2
208,9,15,0,0,2013,2
209,1,3726,1,10,2013,2
209,2,1637,0,6,2013,2
209,8,39,0,0,2013,2
209,9,18,0,0,2013,2
210,1,14538,1,10,2013,2
210,2,4802,0,6,2013,2
210,8,278,0,0,2013,2
210,9,141,0,0,2013,2
211,1,17113,1,10,2013,2
211,2,9708,0,6,2013,2
211,8,385,0,0,2013,2
211,9,150,0,0,2013,2
212,1,47789,1,10,2013,2
212,2,25617,0,6,2013,2
212,8,1525,0,0,2013,2
212,9,561,0,0,2013,2
213,1,3217,1,10,2013,2
213,2,1441,0,6,2013,2
213,8,27,0,0,2013,2
213,9,19,0,0,2013,2
214,1,2189,1,10,2013,2
214,2,990,0,6,2013,2
214,8,39,0,0,2013,2
214,9,19,0,0,2013,2
215,1,3461,1,10,2013,2
215,2,794,0,6,2013,2
215,8,54,0,0,2013,2
215,9,22,0,0,2013,2
216,1,4331,1,10,2013,2
216,2,1681,0,6,2013,2
216,8,51,0,0,2013,2
216,9,32,0,0,2013,2
217,1,1018,1,10,2013,2
217,2,605,0,6,2013,2
217,8,23,0,0,2013,2
217,9,9,0,0,2013,2
218,1,5475,1,10,2013,2
218,2,2088,0,6,2013,2
218,8,55,0,0,2013,2
218,9,26,0,0,2013,2
219,1,3630,1,10,2013,2
219,2,2228,0,6,2013,2
219,8,52,0,0,2013,2
219,9,16,0,0,2013,2
220,1,2585,1,10,2013,2
220,2,2632,0,6,2013,2
220,8,51,0,0,2013,2
220,9,11,0,0,2013,2
221,1,4454,1,10,2013,2
221,2,4071,0,6,2013,2
221,8,131,0,0,2013,2
221,9,51,0,0,2013,2
222,1,5251,1,10,2013,2
222,2,3765,0,6,2013,2
222,8,66,0,0,2013,2
222,9,48,0,0,2013,2
223,1,2535,1,10,2013,2
223,2,1211,0,6,2013,2
223,8,31,0,0,2013,2
223,9,10,0,0,2013,2
224,1,1948,1,10,2013,2
224,2,921,0,6,2013,2
