"","reply_ratio_2015","available_2013","available_2011","available_2009","available_2006","available_2003","available_2000","available_1998","available_1996","available_1994","available_1992","available_1990"
"s26b_c3",0.0017,0,0,0,0,0,0,0,0,0,0,0
"s26c",0.2508,1,1,0,0,1,0,0,0,0,0,0
"s26d",0.2508,0,0,0,0,0,0,0,0,0,0,0
"s27a",1,1,1,0,0,1,0,0,0,0,0,0
"s27b",0.0643,1,1,0,0,1,0,0,0,0,0,0
"s27c",0.0643,1,1,0,0,1,0,0,0,0,0,0
"s27d",0.0643,1,0,0,0,0,0,0,0,0,0,0
"s28",1,0,0,1,0,0,1,1,1,1,1,1
"s29",0.1859,0,0,0,0,0,1,1,1,1,1,1
"s30",0.0254,0,0,0,0,0,1,1,1,1,1,1
"s31c1",1,0,0,0,0,0,0,0,0,0,0,0
"s31c2",0.0164,0,0,0,0,0,0,0,0,0,0,0
"s31c3",0.0041,0,0,0,0,0,0,0,0,0,0,0
"s32a",0.9201,0,1,0,0,0,0,0,0,0,0,0
"s32b",0.9201,0,1,0,0,0,0,0,0,0,0,0
"s32c",0.9201,0,1,0,0,0,0,0,0,0,0,0
"s32d",0.9201,0,1,0,0,0,0,0,0,0,0,0
"s32e",0.9201,0,0,0,0,0,0,0,0,0,0,0
"s32f",0.9201,0,0,0,0,0,0,0,0,0,0,0
"s32g",0.9201,0,0,0,0,0,0,0,0,0,0,0
"s33a",0.1233,0,1,0,0,0,0,0,0,0,0,0
"s33b",0.1233,0,1,0,0,0,0,0,0,0,0,0
"s33c",0.1233,0,1,0,0,0,0,0,0,0,0,0
"s33d",0.1233,0,1,0,0,0,0,0,0,0,0,0
"s33e",0.1233,0,0,0,0,0,0,0,0,0,0,0
"s33f",0.1233,0,0,0,0,0,0,0,0,0,0,0
"s34_1a",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s34_2a",0.0109,0,0,0,0,0,0,0,0,0,0,0
"s34_1b",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s34_2b",0.0215,0,0,0,0,0,0,0,0,0,0,0
"s34_1c",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s34_2c",0.031,0,0,0,0,0,0,0,0,0,0,0
"s34_1d",0.7968,0,0,0,0,0,0,0,0,0,0,0
"s34_2d",0.0136,0,0,0,0,0,0,0,0,0,0,0
"s34_1e",0.7968,0,0,0,0,0,0,0,0,0,0,0
